-942963|1821685,-992963|1821684,-1042963|1821684,-1092964|1821684,-1142964|1821684,-1192964|1821684,-1242965|1821684,-1292965|1821684,-1342966|1821684,-1392966|1821684
-942965|1771683,-992965|1771683,-1042965|1771682,-1092966|1771682,-1142966|1771682,-1192966|1771682,-1242966|1771682,-1292966|1771682,-1342966|1771682,-1392967|1771682
-942965|1721676,-992965|1721676,-1042966|1721676,-1092966|1721676,-1142966|1721676,-1192966|1721676,-1242966|1721676,-1292967|1721676,-1342967|1721676,-1392967|1721676
-942966|1671674,-992967|1671673,-1042967|1671672,-1092967|1671672,-1142967|1671672,-1192967|1671672,-1242967|1671672,-1292967|1671672,-1342967|1671672,-1392967|1671672
-942966|1621672,-992966|1621672,-1042966|1621672,-1092966|1621672,-1142966|1621672,-1192966|1621672,-1242966|1621672,-1292966|1621672,-1342966|1621672,-1392966|1621672
-942962|1571669,-992963|1571669,-1042964|1571669,-1092964|1571669,-1142965|1571669,-1192965|1571669,-1242965|1571669,-1292965|1571669,-1342965|1571669,-1392966|1571669
-942961|1521667,-992962|1521668,-1042962|1521668,-1092962|1521668,-1142962|1521668,-1192962|1521668,-1242962|1521668,-1292963|1521668,-1342963|1521668,-1392963|1521669
-942963|1471664,-992963|1471664,-1042963|1471664,-1092963|1471664,-1142963|1471663,-1192963|1471662,-1242963|1471662,-1292963|1471662,-1342963|1471662,-1392963|1471662
-942963|1421662,-992963|1421661,-1042963|1421661,-1092963|1421661,-1142963|1421661,-1192963|1421661,-1242963|1421661,-1292964|1421661,-1342965|1421662,-1392965|1421662
-942962|1371663,-992962|1371663,-1042962|1371663,-1092962|1371663,-1142962|1371663,-1192962|1371662,-1242963|1371661,-1292964|1371661,-1342964|1371661,-1392965|1371661
