-942966|1821674,-992966|1821674,-1042966|1821674,-1092966|1821674,-1142967|1821674,-1192967|1821674,-1242967|1821674,-1292967|1821674,-1342967|1821674,-1392968|1821674
-942967|1771673,-992967|1771673,-1042968|1771673,-1092968|1771672,-1142968|1771672,-1192968|1771672,-1242968|1771672,-1292968|1771672,-1342968|1771672,-1392968|1771672
-942967|1721671,-992967|1721671,-1042968|1721671,-1092968|1721671,-1142968|1721672,-1192968|1721672,-1242968|1721672,-1292969|1721672,-1342969|1721672,-1392969|1721672
-942967|1671670,-992967|1671670,-1042967|1671670,-1092968|1671670,-1142968|1671670,-1192968|1671670,-1242968|1671670,-1292968|1671669,-1342968|1671669,-1392969|1671669
-942967|1621669,-992967|1621669,-1042967|1621669,-1092967|1621669,-1142967|1621669,-1192967|1621670,-1242967|1621670,-1292967|1621670,-1342967|1621670,-1392967|1621670
-942964|1571669,-992965|1571669,-1042965|1571669,-1092966|1571669,-1142966|1571669,-1192966|1571669,-1242966|1571669,-1292966|1571669,-1342966|1571669,-1392967|1571669
-942964|1521666,-992964|1521666,-1042964|1521666,-1092964|1521666,-1142964|1521666,-1192964|1521666,-1242965|1521666,-1292965|1521666,-1342965|1521666,-1392966|1521666
-942963|1471665,-992963|1471665,-1042964|1471665,-1092964|1471665,-1142965|1471665,-1192966|1471664,-1242966|1471664,-1292966|1471664,-1342966|1471664,-1392966|1471664
-942964|1421664,-992964|1421663,-1042964|1421663,-1092964|1421663,-1142965|1421663,-1192966|1421663,-1242966|1421663,-1292966|1421663,-1342966|1421663,-1392966|1421663
-942965|1371659,-992965|1371659,-1042965|1371659,-1092965|1371658,-1142965|1371658,-1192965|1371658,-1242965|1371658,-1292965|1371658,-1342966|1371658,-1392966|1371658
