-942967|1821701,-992968|1821701,-1042968|1821701,-1092969|1821701,-1142969|1821701,-1192970|1821701,-1242971|1821701,-1292971|1821701,-1342971|1821701,-1392971|1821701
-942968|1771700,-992968|1771700,-1042968|1771700,-1092968|1771700,-1142968|1771700,-1192968|1771700,-1242968|1771700,-1292969|1771700,-1342969|1771700,-1392970|1771700
-942968|1721697,-992968|1721696,-1042968|1721696,-1092968|1721696,-1142968|1721696,-1192968|1721696,-1242969|1721696,-1292969|1721696,-1342969|1721697,-1392969|1721697
-942969|1671692,-992969|1671692,-1042969|1671692,-1092969|1671692,-1142969|1671692,-1192969|1671692,-1242969|1671692,-1292969|1671692,-1342969|1671692,-1392969|1671691
-942969|1621690,-992969|1621690,-1042969|1621690,-1092969|1621691,-1142970|1621691,-1192970|1621691,-1242971|1621692,-1292971|1621692,-1342971|1621692,-1392972|1621692
-942970|1571694,-992970|1571694,-1042970|1571694,-1092970|1571693,-1142970|1571693,-1192971|1571692,-1242972|1571691,-1292972|1571691,-1342972|1571691,-1392972|1571690
-942970|1521692,-992970|1521692,-1042970|1521692,-1092970|1521692,-1142970|1521692,-1192970|1521692,-1242970|1521692,-1292970|1521692,-1342971|1521692,-1392971|1521692
-942971|1471687,-992971|1471687,-1042971|1471686,-1092971|1471686,-1142971|1471686,-1192971|1471686,-1242971|1471686,-1292971|1471686,-1342971|1471686,-1392971|1471686
-942971|1421686,-992972|1421685,-1042972|1421685,-1092972|1421685,-1142972|1421685,-1192972|1421686,-1242972|1421686,-1292972|1421686,-1342973|1421686,-1392973|1421686
-942972|1371685,-992972|1371685,-1042972|1371685,-1092972|1371685,-1142972|1371685,-1192973|1371685,-1242973|1371684,-1292973|1371684,-1342973|1371684,-1392973|1371684
