-942967|1821701,-992946|1821481,-1042924|1821239,-1092902|1820996,-1142882|1820775,-1192836|1820535,-1242794|1820290,-1292751|1820005,-1342729|1819806,-1392707|1819564
-942726|1771744,-992704|1771502,-1042660|1771259,-1092660|1771040,-1142616|1770774,-1192572|1770556,-1242551|1770314,-1292507|1770072,-1342486|1769830,-1392443|1769589
-942462|1721766,-992440|1721540,-1042419|1721300,-1092396|1721058,-1142374|1720835,-1192330|1720593,-1242308|1720352,-1292265|1720109,-1342221|1719848,-1392199|1719607
-942221|1671780,-992199|1671537,-1042177|1671295,-1092133|1671076,-1142110|1670853,-1192066|1670614,-1242045|1670369,-1292000|1670108,-1341979|1669883,-1391957|1669630
-941957|1621802,-991934|1621558,-1041913|1621338,-1091891|1621096,-1141869|1620873,-1191826|1620633,-1241803|1620390,-1291761|1620149,-1341717|1619888,-1391696|1619620
-941716|1571806,-991694|1571584,-1041650|1571341,-1091627|1571121,-1141606|1570878,-1191564|1570635,-1241542|1570412,-1291498|1570151,-1341475|1569929,-1391454|1569688
-941452|1521829,-991430|1521604,-1041408|1521381,-1091386|1521142,-1141364|1520900,-1191319|1520658,-1241276|1520416,-1291254|1520174,-1341210|1519932,-1391189|1519689
-941211|1471863,-991167|1471620,-1041168|1471400,-1091123|1471158,-1141101|1470916,-1191056|1470674,-1241035|1470452,-1290991|1470190,-1340925|1469901,-1390948|1469712
-940947|1421885,-990925|1421662,-1040904|1421420,-1090882|1421179,-1140860|1420956,-1190816|1420714,-1240794|1420472,-1290750|1420230,-1340706|1419992,-1390685|1419748
-940706|1371906,-990662|1371685,-1040640|1371443,-1090618|1371223,-1140597|1370981,-1190553|1370738,-1240531|1370496,-1290465|1370232,-1340420|1369965,-1390421|1369771
