-840054|1813267,-890053|1813268,-940053|1813268,-990054|1813268,-1040054|1813269,-1090054|1813269,-1140055|1813269,-1190055|1813269,-1240055|1813269,-1290055|1813269,-1340057|1813269,-1390057|1813269,-1440057|1813269,-1490057|1813269,-1540057|1813269,-1590057|1813269,-1640057|1813269,-1690057|1813269,-1740057|1813269,-1790058|1813269,-1840059|1813270,-1890059|1813270,-1940059|1813270,-1990060|1813270,-2040061|1813270,-2090061|1813270,-2140061|1813270,-2190061|1813270,-2240061|1813270,-2290061|1813270,-2340061|1813270,-2390061|1813271
-840064|1763271,-890066|1763271,-940065|1763271,-990065|1763271,-1040064|1763271,-1090064|1763271,-1140064|1763271,-1190065|1763271,-1240063|1763271,-1290063|1763271,-1340063|1763271,-1390064|1763271,-1440063|1763270,-1490063|1763270,-1540064|1763270,-1590064|1763271,-1640064|1763271,-1690063|1763271,-1740064|1763271,-1790064|1763271,-1840063|1763270,-1890063|1763270,-1940064|1763270,-1990062|1763270,-2040061|1763270,-2090062|1763270,-2140062|1763270,-2190062|1763270,-2240063|1763269,-2290063|1763269,-2340063|1763269,-2390062|1763269
-840065|1713268,-890066|1713268,-940066|1713267,-990065|1713267,-1040066|1713267,-1090066|1713266,-1140065|1713266,-1190064|1713266,-1240064|1713266,-1290064|1713266,-1340065|1713266,-1390065|1713265,-1440066|1713265,-1490066|1713266,-1540066|1713266,-1590067|1713266,-1640067|1713266,-1690067|1713266,-1740067|1713267,-1790066|1713267,-1840067|1713267,-1890067|1713267,-1940068|1713267,-1990068|1713267,-2040068|1713267,-2090068|1713268,-2140070|1713268,-2190070|1713269,-2240070|1713270,-2290069|1713270,-2340069|1713270,-2390069|1713270
-840068|1663268,-890069|1663268,-940069|1663268,-990069|1663268,-1040069|1663268,-1090069|1663268,-1140070|1663268,-1190070|1663268,-1240070|1663268,-1290068|1663268,-1340067|1663268,-1390066|1663268,-1440066|1663268,-1490066|1663268,-1540066|1663268,-1590067|1663268,-1640068|1663268,-1690068|1663268,-1740068|1663268,-1790068|1663268,-1840068|1663268,-1890069|1663268,-1940069|1663269,-1990070|1663269,-2040069|1663269,-2090069|1663269,-2140070|1663269,-2190070|1663269,-2240070|1663269,-2290070|1663268,-2340069|1663267,-2390069|1663267
-840067|1613266,-890067|1613266,-940067|1613266,-990067|1613266,-1040067|1613266,-1090067|1613266,-1140068|1613266,-1190068|1613266,-1240068|1613267,-1290067|1613267,-1340067|1613268,-1390067|1613268,-1440067|1613268,-1490067|1613268,-1540067|1613268,-1590067|1613268,-1640069|1613268,-1690069|1613268,-1740069|1613268,-1790070|1613268,-1840070|1613268,-1890070|1613268,-1940070|1613268,-1990070|1613268,-2040070|1613268,-2090071|1613268,-2140072|1613268,-2190072|1613268,-2240072|1613268,-2290071|1613268,-2340072|1613268,-2390072|1613269
-840070|1563267,-890070|1563267,-940071|1563267,-990071|1563267,-1040072|1563268,-1090072|1563268,-1140072|1563269,-1190073|1563269,-1240073|1563269,-1290073|1563269,-1340073|1563269,-1390073|1563269,-1440073|1563269,-1490073|1563269,-1540073|1563269,-1590073|1563269,-1640072|1563269,-1690071|1563269,-1740071|1563269,-1790071|1563269,-1840072|1563269,-1890074|1563269,-1940074|1563269,-1990074|1563269,-2040073|1563269,-2090072|1563269,-2140072|1563269,-2190072|1563269,-2240072|1563269,-2290072|1563269,-2340072|1563269,-2390072|1563269
-840073|1513264,-890073|1513264,-940073|1513264,-990073|1513264,-1040074|1513264,-1090074|1513264,-1140074|1513264,-1190074|1513264,-1240075|1513264,-1290073|1513264,-1340074|1513264,-1390074|1513264,-1440074|1513265,-1490074|1513265,-1540074|1513265,-1590074|1513265,-1640075|1513265,-1690075|1513265,-1740075|1513265,-1790074|1513265,-1840073|1513265,-1890074|1513265,-1940073|1513265,-1990073|1513265,-2040073|1513265,-2090073|1513265,-2140073|1513265,-2190073|1513265,-2240073|1513265,-2290073|1513265,-2340073|1513265,-2390073|1513265
-840070|1463266,-890070|1463266,-940071|1463266,-990071|1463266,-1040070|1463266,-1090070|1463265,-1140071|1463265,-1190072|1463265,-1240072|1463265,-1290072|1463265,-1340071|1463265,-1390071|1463265,-1440071|1463265,-1490071|1463265,-1540073|1463266,-1590073|1463266,-1640073|1463266,-1690073|1463266,-1740073|1463266,-1790073|1463266,-1840072|1463266,-1890072|1463266,-1940072|1463266,-1990071|1463266,-2040072|1463266,-2090072|1463266,-2140074|1463265,-2190073|1463266,-2240073|1463265,-2290073|1463264,-2340073|1463264,-2390073|1463264
-840069|1413264,-890070|1413264,-940070|1413264,-990068|1413264,-1040067|1413264,-1090068|1413264,-1140068|1413264,-1190068|1413264,-1240068|1413264,-1290070|1413264,-1340070|1413264,-1390070|1413264,-1440069|1413264,-1490069|1413264,-1540069|1413264,-1590069|1413264,-1640070|1413264,-1690071|1413264,-1740072|1413264,-1790072|1413264,-1840073|1413264,-1890073|1413264,-1940072|1413264,-1990073|1413264,-2040073|1413263,-2090073|1413264,-2140074|1413265,-2190074|1413266,-2240073|1413266,-2290073|1413266,-2340073|1413266,-2390073|1413266
-840065|1363265,-890067|1363265,-940067|1363265,-990067|1363265,-1040067|1363265,-1090067|1363265,-1140067|1363265,-1190068|1363265,-1240069|1363265,-1290069|1363265,-1340071|1363265,-1390070|1363265,-1440071|1363265,-1490071|1363265,-1540072|1363265,-1590072|1363265,-1640072|1363265,-1690073|1363265,-1740073|1363265,-1790073|1363265,-1840074|1363265,-1890072|1363265,-1940072|1363265,-1990072|1363265,-2040072|1363265,-2090073|1363265,-2140074|1363265,-2190074|1363265,-2240074|1363265,-2290073|1363264,-2340073|1363264,-2390073|1363264
-840065|1313258,-890065|1313258,-940065|1313258,-990066|1313258,-1040066|1313258,-1090066|1313258,-1140066|1313258,-1190066|1313258,-1240066|1313258,-1290065|1313258,-1340063|1313258,-1390063|1313258,-1440064|1313258,-1490064|1313258,-1540064|1313258,-1590064|1313258,-1640065|1313258,-1690065|1313258,-1740065|1313258,-1790065|1313258,-1840065|1313258,-1890065|1313258,-1940065|1313258,-1990065|1313258,-2040065|1313259,-2090064|1313259,-2140064|1313260,-2190064|1313260,-2240064|1313261,-2290064|1313261,-2340064|1313261,-2390064|1313261
-840068|1263255,-890068|1263256,-940068|1263256,-990068|1263257,-1040068|1263258,-1090069|1263259,-1140069|1263259,-1190069|1263259,-1240068|1263259,-1290068|1263259,-1340068|1263259,-1390068|1263259,-1440067|1263258,-1490066|1263258,-1540066|1263259,-1590066|1263259,-1640066|1263259,-1690064|1263259,-1740064|1263260,-1790064|1263260,-1840063|1263260,-1890064|1263260,-1940064|1263260,-1990062|1263260,-2040062|1263260,-2090062|1263259,-2140062|1263259,-2190062|1263259,-2240062|1263259,-2290063|1263259,-2340064|1263258,-2390064|1263258
-840067|1213255,-890067|1213255,-940067|1213255,-990067|1213255,-1040067|1213255,-1090067|1213255,-1140068|1213255,-1190066|1213255,-1240066|1213255,-1290067|1213254,-1340068|1213254,-1390067|1213254,-1440067|1213254,-1490066|1213254,-1540066|1213254,-1590066|1213254,-1640067|1213254,-1690067|1213254,-1740067|1213254,-1790067|1213254,-1840067|1213254,-1890067|1213254,-1940067|1213254,-1990067|1213254,-2040068|1213254,-2090067|1213254,-2140067|1213254,-2190067|1213254,-2240067|1213254,-2290068|1213254,-2340068|1213254,-2390068|1213254
-840066|1163253,-890066|1163253,-940066|1163253,-990067|1163253,-1040067|1163253,-1090067|1163254,-1140068|1163254,-1190068|1163254,-1240069|1163254,-1290069|1163254,-1340069|1163254,-1390069|1163255,-1440069|1163254,-1490069|1163254,-1540069|1163254,-1590069|1163254,-1640069|1163254,-1690069|1163254,-1740069|1163254,-1790069|1163253,-1840069|1163253,-1890068|1163253,-1940068|1163253,-1990068|1163253,-2040068|1163252,-2090068|1163252,-2140069|1163252,-2190068|1163252,-2240068|1163252,-2290068|1163252,-2340068|1163252,-2390068|1163252
-840066|1113250,-890066|1113250,-940066|1113250,-990066|1113250,-1040066|1113250,-1090066|1113250,-1140067|1113250,-1190068|1113250,-1240068|1113250,-1290067|1113250,-1340068|1113250,-1390068|1113250,-1440069|1113250,-1490068|1113250,-1540068|1113250,-1590068|1113250,-1640068|1113251,-1690068|1113251,-1740068|1113252,-1790070|1113252,-1840070|1113252,-1890070|1113252,-1940071|1113252,-1990071|1113252,-2040071|1113252,-2090071|1113252,-2140070|1113252,-2190070|1113253,-2240070|1113253,-2290071|1113253,-2340071|1113253,-2390071|1113253
-840069|1063253,-890068|1063253,-940068|1063253,-990069|1063253,-1040069|1063253,-1090069|1063253,-1140069|1063253,-1190069|1063253,-1240068|1063254,-1290068|1063254,-1340068|1063254,-1390069|1063254,-1440069|1063254,-1490071|1063254,-1540071|1063254,-1590072|1063254,-1640072|1063253,-1690072|1063253,-1740072|1063253,-1790072|1063253,-1840071|1063253,-1890071|1063253,-1940071|1063253,-1990071|1063253,-2040071|1063253,-2090072|1063252,-2140071|1063252,-2190072|1063252,-2240072|1063251,-2290071|1063251,-2340071|1063251,-2390071|1063251
-840068|1013252,-890068|1013252,-940068|1013252,-990068|1013252,-1040068|1013252,-1090068|1013252,-1140069|1013252,-1190069|1013252,-1240069|1013252,-1290069|1013252,-1340069|1013252,-1390069|1013252,-1440069|1013252,-1490069|1013252,-1540070|1013252,-1590071|1013252,-1640071|1013252,-1690072|1013252,-1740072|1013252,-1790072|1013252,-1840072|1013252,-1890072|1013253,-1940073|1013253,-1990073|1013253,-2040074|1013254,-2090074|1013254,-2140075|1013254,-2190076|1013254,-2240076|1013254,-2290075|1013254,-2340075|1013254,-2390075|1013255
-840074|963244,-890074|963245,-940074|963245,-990074|963245,-1040074|963245,-1090074|963245,-1140074|963245,-1190075|963246,-1240077|963246,-1290078|963247,-1340079|963248,-1390080|963247,-1440080|963247,-1490080|963247,-1540079|963247,-1590078|963247,-1640078|963247,-1690077|963247,-1740076|963247,-1790076|963247,-1840075|963246,-1890074|963246,-1940074|963246,-1990073|963246,-2040073|963246,-2090073|963246,-2140073|963245,-2190073|963245,-2240073|963245,-2290074|963246,-2340075|963246,-2390075|963247
-840076|913241,-890075|913242,-940075|913242,-990076|913242,-1040076|913242,-1090076|913242,-1140077|913242,-1190077|913242,-1240077|913242,-1290077|913242,-1340078|913242,-1390078|913242,-1440079|913242,-1490079|913242,-1540079|913242,-1590079|913242,-1640080|913242,-1690080|913242,-1740079|913243,-1790080|913243,-1840080|913243,-1890080|913243,-1940081|913243,-1990081|913243,-2040082|913243,-2090082|913243,-2140082|913243,-2190082|913243,-2240082|913243,-2290082|913243,-2340083|913243,-2390083|913243
-840084|863240,-890083|863240,-940082|863241,-990082|863241,-1040082|863241,-1090082|863241,-1140082|863241,-1190083|863241,-1240084|863241,-1290084|863241,-1340084|863241,-1390084|863241,-1440084|863241,-1490084|863241,-1540083|863241,-1590083|863241,-1640084|863241,-1690084|863241,-1740085|863241,-1790085|863241,-1840085|863241,-1890084|863241,-1940084|863241,-1990084|863240,-2040084|863240,-2090084|863240,-2140084|863240,-2190084|863240,-2240084|863240,-2290083|863240,-2340083|863240,-2390083|863240
-840084|813237,-890085|813237,-940085|813237,-990086|813237,-1040086|813237,-1090086|813237,-1140085|813237,-1190085|813237,-1240085|813237,-1290086|813237,-1340087|813237,-1390087|813237,-1440087|813237,-1490087|813237,-1540087|813237,-1590087|813237,-1640088|813237,-1690088|813237,-1740089|813237,-1790090|813238,-1840090|813238,-1890090|813238,-1940090|813238,-1990090|813238,-2040090|813237,-2090090|813237,-2140090|813237,-2190091|813237,-2240091|813237,-2290091|813238,-2340091|813239,-2390091|813239
-840094|763238,-890091|763238,-940091|763238,-990091|763238,-1040091|763239,-1090091|763239,-1140090|763240,-1190090|763240,-1240090|763240,-1290090|763240,-1340089|763240,-1390089|763239,-1440089|763239,-1490089|763239,-1540090|763239,-1590090|763239,-1640090|763239,-1690090|763239,-1740090|763239,-1790090|763238,-1840090|763238,-1890090|763238,-1940090|763238,-1990090|763238,-2040091|763238,-2090091|763237,-2140091|763237,-2190091|763237,-2240091|763237,-2290091|763237,-2340091|763238,-2390091|763237
