-840054|1813267,-890031|1813227,-939987|1813158,-989965|1813137,-1039922|1813114,-1089899|1813093,-1139876|1813049,-1189836|1812982,-1239791|1812961,-1289769|1812939,-1339726|1812873,-1389683|1812829,-1439639|1812785,-1489614|1812741,-1539595|1812715,-1589572|1812653,-1639549|1812631,-1689529|1812607,-1739507|1812565,-1789485|1812521,-1839442|1812477,-1889398|1812433,-1939356|1812390,-1989334|1812346,-2039290|1812302,-2089270|1812255,-2139226|1812191,-2189203|1812148,-2239181|1812104,-2289137|1812038,-2339116|1811994,-2389093|1811946
-839977|1763316,-889977|1763271,-939933|1763209,-989911|1763183,-1039887|1763160,-1089844|1763136,-1139822|1763095,-1189777|1763029,-1239732|1763007,-1289709|1762962,-1339668|1762920,-1389623|1762875,-1439601|1762829,-1489580|1762786,-1539559|1762743,-1589536|1762720,-1639513|1762677,-1689492|1762633,-1739470|1762611,-1789426|1762566,-1839380|1762522,-1889360|1762478,-1939312|1762435,-1989269|1762390,-2039248|1762346,-2089203|1762298,-2139182|1762236,-2189139|1762191,-2239117|1762147,-2289094|1762081,-2339073|1762036,-2389049|1761994
-839954|1713337,-889911|1713291,-939890|1713268,-989868|1713223,-1039845|1713201,-1089803|1713157,-1139758|1713134,-1189736|1713090,-1239689|1713024,-1289668|1713002,-1339624|1713000,-1389581|1712913,-1439559|1712869,-1489517|1712826,-1539495|1712781,-1589472|1712760,-1639472|1712716,-1689451|1712691,-1739407|1712647,-1789385|1712607,-1839339|1712562,-1889320|1712520,-1939275|1712475,-1989231|1712408,-2039188|1712387,-2089167|1712339,-2139122|1712277,-2189103|1712234,-2239080|1712189,-2289058|1712125,-2339013|1712082,-2388991|1712015
-839891|1663382,-889873|1663312,-939827|1663268,-989807|1663246,-1039784|1663204,-1089762|1663180,-1139718|1663114,-1189673|1663092,-1239650|1663070,-1289604|1663026,-1339559|1662959,-1389538|1662938,-1439494|1662894,-1489471|1662850,-1539451|1662806,-1589431|1662784,-1639407|1662740,-1689386|1662716,-1739364|1662674,-1789321|1662630,-1839298|1662608,-1889255|1662543,-1939212|1662499,-1989189|1662473,-2039145|1662411,-2089103|1662367,-2139080|1662320,-2189058|1662275,-2239036|1662212,-2289013|1662163,-2338969|1662101,-2388947|1662059
-839850|1613378,-889826|1613332,-939781|1613310,-989759|1613266,-1039739|1613222,-1089693|1613200,-1139670|1613157,-1189627|1613113,-1239584|1613089,-1289540|1612999,-1339518|1613025,-1389494|1612960,-1439451|1612915,-1489428|1612894,-1539407|1612828,-1589385|1612805,-1639341|1612714,-1689343|1612739,-1739321|1612696,-1789278|1612652,-1839234|1612608,-1889212|1612583,-1939168|1612539,-1989146|1612495,-2039102|1612450,-2089057|1612388,-2139038|1612344,-2189016|1612297,-2238972|1612234,-2288949|1612190,-2338927|1612143,-2388884|1612079
-839784|1563377,-889764|1563355,-939741|1563329,-989699|1563290,-1039675|1563246,-1089654|1563225,-1139611|1563181,-1189589|1563159,-1239544|1563115,-1289501|1563071,-1339480|1563027,-1389435|1562983,-1439390|1562961,-1489368|1562917,-1539347|1562873,-1589324|1562828,-1639321|1562807,-1689278|1562763,-1739257|1562738,-1789237|1562697,-1839195|1562653,-1889150|1562587,-1939128|1562564,-1989081|1562521,-2039060|1562477,-2089016|1562411,-2138995|1562366,-2188950|1562323,-2238929|1562275,-2288906|1562213,-2338885|1562169,-2388840|1562121
-839741|1513399,-889722|1513374,-939678|1513351,-989655|1513308,-1039633|1513286,-1089590|1513241,-1139567|1513198,-1189524|1513176,-1239480|1513132,-1289459|1513092,-1339413|1513044,-1389370|1513000,-1439348|1512978,-1489326|1512935,-1539304|1512913,-1589282|1512847,-1639259|1512825,-1689239|1512780,-1739217|1512759,-1789173|1512715,-1839150|1512690,-1889105|1512627,-1939062|1512582,-1989041|1512539,-2038995|1512495,-2088973|1512451,-2138929|1512385,-2188906|1512341,-2238885|1512297,-2288862|1512249,-2338819|1512187,-2388797|1512142
-839695|1463442,-889653|1463398,-939631|1463358,-989607|1463332,-1039565|1463291,-1089543|1463265,-1139501|1463243,-1189479|1463199,-1239434|1463155,-1289412|1463129,-1339367|1463067,-1389323|1463023,-1439301|1463001,-1489259|1462911,-1539237|1462936,-1589215|1462892,-1639216|1462848,-1689193|1462826,-1739149|1462782,-1789126|1462760,-1839083|1462716,-1889059|1462672,-1939016|1462628,-1988971|1462584,-2038950|1462536,-2088908|1462474,-2138885|1462430,-2188863|1462385,-2238819|1462318,-2288796|1462274,-2338775|1462226,-2388753|1462164
-839652|1413464,-889606|1413418,-939586|1413396,-989542|1413375,-1039517|1413351,-1089495|1413328,-1139452|1413264,-1189430|1413241,-1239386|1413198,-1289343|1413154,-1339301|1413110,-1389278|1413066,-1439234|1413042,-1489211|1413000,-1539190|1412956,-1589167|1412934,-1639145|1412889,-1689123|1412868,-1739104|1412824,-1789082|1412780,-1839038|1412736,-1889017|1412714,-1938973|1412669,-1988927|1412604,-2038907|1412579,-2088863|1412515,-2138840|1412472,-2188798|1412429,-2238776|1412364,-2288754|1412302,-2338731|1412274,-2388687|1412210
-839584|1363485,-889561|1363463,-939517|1363420,-989494|1363419,-1039472|1363353,-1089429|1363331,-1139408|1363311,-1189365|1363265,-1239321|1363221,-1289302|1363177,-1339256|1363133,-1389212|1363089,-1439191|1363067,-1489170|1363023,-1539148|1363001,-1589125|1362957,-1639105|1362935,-1689083|1362891,-1739061|1362847,-1789017|1362825,-1838993|1362781,-1888950|1362737,-1938906|1362692,-1988883|1362651,-2038841|1362624,-2088820|1362560,-2138777|1362494,-2188753|1362470,-2238731|1362406,-2288710|1362361,-2338687|1362314,-2388643|1362254
