-839966|1813179,-889922|1813069,-939900|1813048,-989856|1813008,-1039835|1812970,-1089811|1812934,-1139768|1812924,-1189746|1812869,-1239701|1812817,-1289680|1812772,-1339636|1812743,-1389615|1812675,-1439570|1812654,-1489547|1812613,-1539526|1812577,-1589504|1812559,-1639481|1812501,-1689460|1812473,-1739438|1812440,-1789416|1812432,-1839372|1812363,-1889350|1812316,-1939306|1812272,-1989262|1812252,-2039240|1812190,-2089218|1812152,-2139175|1812115,-2189152|1812083,-2239129|1812028,-2289109|1811977,-2339086|1811929,-2389041|1811882
-839900|1763130,-889856|1763084,-939833|1763061,-989812|1763017,-1039789|1763001,-1089746|1762963,-1139724|1762951,-1189702|1762894,-1239658|1762844,-1289614|1762812,-1339592|1762763,-1389548|1762718,-1439526|1762694,-1489504|1762651,-1539482|1762611,-1589460|1762574,-1639438|1762560,-1689416|1762525,-1739394|1762472,-1789372|1762443,-1839328|1762415,-1889306|1762368,-1939262|1762325,-1989219|1762281,-2039196|1762242,-2089151|1762203,-2139130|1762145,-2189108|1762111,-2239086|1762057,-2289064|1762006,-2339021|1761979,-2388998|1761930
-839857|1713152,-889812|1713107,-939790|1713085,-989769|1713042,-1039747|1713024,-1089702|1712986,-1139680|1712951,-1189636|1712918,-1239614|1712886,-1289570|1712835,-1339525|1712808,-1389504|1712760,-1439460|1712716,-1489437|1712671,-1539416|1712652,-1589394|1712613,-1639394|1712576,-1689372|1712542,-1739350|1712509,-1789306|1712458,-1839283|1712427,-1889240|1712379,-1939219|1712354,-1989175|1712309,-2039152|1712267,-2089108|1712227,-2139086|1712167,-2189064|1712130,-2239042|1712074,-2289020|1712044,-2338976|1711991,-2388954|1711941
-839810|1663183,-889768|1663124,-939745|1663112,-989702|1663034,-1039680|1663031,-1089658|1663006,-1139635|1662983,-1189592|1662943,-1239548|1662905,-1289526|1662871,-1339483|1662816,-1389460|1662769,-1439415|1662741,-1489394|1662698,-1539372|1662655,-1589350|1662636,-1639328|1662600,-1689327|1662568,-1739284|1662520,-1789262|1662489,-1839218|1662444,-1889196|1662402,-1939152|1662364,-1989130|1662324,-2039086|1662290,-2089064|1662238,-2139042|1662210,-2189019|1662164,-2238976|1662119,-2288954|1662056,-2338932|1662019,-2388910|1661963
-839747|1613182,-889724|1613162,-939680|1613130,-989658|1613099,-1039636|1613047,-1089614|1613040,-1139570|1612999,-1189548|1612937,-1239504|1612921,-1289460|1612888,-1339438|1612833,-1389394|1612785,-1439372|1612758,-1489351|1612738,-1539327|1612695,-1589306|1612658,-1639284|1612624,-1689262|1612573,-1739241|1612543,-1789218|1612518,-1839173|1612476,-1889130|1612456,-1939108|1612396,-1989064|1612344,-2039042|1612311,-2089019|1612261,-2138976|1612215,-2188954|1612172,-2238932|1612133,-2288910|1612094,-2338889|1612040,-2388844|1611988
-839701|1563226,-889680|1563171,-939636|1563141,-989614|1563113,-1039591|1563088,-1089549|1563049,-1139526|1563006,-1189482|1562970,-1239460|1562938,-1289417|1562909,-1339394|1562861,-1389350|1562817,-1439328|1562776,-1489282|1562739,-1539262|1562705,-1589263|1562675,-1639240|1562648,-1689218|1562603,-1739196|1562564,-1789174|1562545,-1839130|1562488,-1889086|1562456,-1939064|1562406,-1989019|1562362,-2038999|1562340,-2088954|1562278,-2138933|1562242,-2188910|1562187,-2238888|1562158,-2288865|1562110,-2338822|1562066,-2388800|1562003
-839658|1513231,-889614|1513198,-939592|1513169,-989548|1513122,-1039527|1513100,-1089504|1513060,-1139482|1513042,-1189438|1512989,-1239394|1512961,-1289372|1512913,-1339328|1512890,-1389305|1512851,-1439262|1512792,-1489239|1512759,-1539218|1512729,-1589241|1512634,-1639195|1512659,-1689174|1512621,-1739130|1512581,-1789108|1512548,-1839086|1512518,-1889042|1512469,-1938998|1512425,-1988976|1512384,-2038932|1512346,-2088910|1512314,-2138888|1512261,-2188866|1512233,-2238844|1512214,-2288822|1512126,-2338778|1512088,-2388756|1512031
-839592|1463249,-889570|1463216,-939548|1463185,-989504|1463156,-1039482|1463116,-1089460|1463098,-1139415|1463063,-1189394|1463009,-1239328|1462934,-1289306|1462937,-1339284|1462896,-1389240|1462859,-1439218|1462826,-1489196|1462778,-1539174|1462751,-1589152|1462709,-1639130|1462693,-1689108|1462639,-1739086|1462608,-1789064|1462562,-1839020|1462539,-1888998|1462499,-1938954|1462465,-1988933|1462411,-2038888|1462364,-2088866|1462361,-2138822|1462280,-2188800|1462241,-2238778|1462186,-2288756|1462136,-2338734|1462112,-2388712|1462049
-839548|1413269,-889526|1413231,-939482|1413198,-989460|1413169,-1039438|1413143,-1089394|1413120,-1139372|1413084,-1189328|1413046,-1239306|1412997,-1289262|1412948,-1339240|1412926,-1389196|1412886,-1439152|1412849,-1489130|1412818,-1539108|1412791,-1589108|1412744,-1639086|1412707,-1689065|1412669,-1739042|1412657,-1789021|1412603,-1838976|1412558,-1888955|1412535,-1938909|1412496,-1988866|1412443,-2038844|1412409,-2088800|1412361,-2138778|1412317,-2188756|1412277,-2238734|1412219,-2288712|1412166,-2338690|1412135,-2388646|1412090
-839483|1363311,-889460|1363273,-939438|1363239,-989416|1363209,-1039372|1363183,-1089350|1363145,-1139327|1363108,-1189284|1363077,-1239240|1363029,-1289218|1363007,-1339174|1362965,-1389129|1362913,-1439108|1362884,-1489085|1362859,-1539063|1362818,-1589042|1362804,-1639041|1362751,-1689020|1362706,-1738976|1362681,-1788953|1362622,-1838932|1362608,-1888887|1362557,-1938866|1362511,-1988822|1362471,-2038778|1362433,-2088756|1362381,-2138734|1362354,-2188712|1362310,-2238690|1362249,-2288670|1362215,-2338624|1362164,-2388602|1362118
-839438|1313328,-889416|1313304,-939394|1313268,-989350|1313234,-1039328|1313210,-1089306|1313166,-1139262|1313145,-1189240|1313110,-1239196|1313062,-1289152|1313035,-1339130|1312995,-1389086|1312938,-1439064|1312906,-1489043|1312881,-1539021|1312838,-1588999|1312822,-1638976|1312789,-1688954|1312739,-1738931|1312716,-1788910|1312676,-1838867|1312623,-1888844|1312590,-1938800|1312544,-1988778|1312502,-2038734|1312465,-2088712|1312434,-2138668|1312367,-2188646|1312342,-2238624|1312282,-2288601|1312229,-2338579|1312199,-2388558|1312152
-839393|1263357,-889350|1263321,-939328|1263292,-989306|1263265,-1039284|1263243,-1089239|1263209,-1139218|1263178,-1189174|1263129,-1239152|1263107,-1289108|1263052,-1339064|1263021,-1389042|1262973,-1438997|1262952,-1488976|1262896,-1538954|1262885,-1588954|1262858,-1638932|1262818,-1688910|1262781,-1738887|1262749,-1788844|1262702,-1838822|1262660,-1888778|1262623,-1938756|1262572,-1988712|1262543,-2038690|1262501,-2088646|1262443,-2138624|1262410,-2188602|1262363,-2238581|1262320,-2288558|1262262,-2338536|1262229,-2388514|1262181
-839327|1213386,-889306|1213353,-939262|1213312,-989239|1213293,-1039218|1213261,-1089196|1213234,-1139152|1213190,-1189130|1213153,-1239086|1213121,-1289064|1213073,-1339019|1213049,-1388975|1212995,-1438954|1212965,-1488932|1212938,-1538910|1212901,-1588888|1212866,-1638866|1212838,-1688865|1212813,-1738822|1212776,-1788800|1212721,-1838778|1212693,-1888733|1212651,-1938690|1212595,-1988669|1212561,-2038624|1212515,-2088601|1212472,-2138580|1212437,-2188536|1212387,-2238536|1212339,-2288514|1212299,-2338470|1212243,-2388448|1212196
-839283|1163411,-889262|1163381,-939217|1163345,-989196|1163311,-1039174|1163283,-1089130|1163237,-1139108|1163221,-1189086|1163191,-1239042|1163147,-1288998|1163108,-1338976|1163074,-1388932|1163025,-1438910|1163003,-1488888|1162969,-1538866|1162939,-1588844|1162912,-1638821|1162874,-1688800|1162841,-1738778|1162796,-1788756|1162755,-1838712|1162720,-1888690|1162687,-1938646|1162646,-1988623|1162587,-2038580|1162555,-2088536|1162530,-2138536|1162468,-2188492|1162413,-2238470|1162364,-2288449|1162322,-2338426|1162282,-2388404|1162229
