189572.98254598-67060.2553255897,183388.429883556-67060.5313255897,177203.739221132-67060.5313255897,171019.117558709-67060.5313255897,164834.495896284-67060.5313255897,158649.805233861-67060.8073255897,152465.045571437-67060.6693255897,146280.285909013-67060.6693255897,140095.664246589-67060.8073255897,133910.835584165-67060.8073255897,127726.213921741-67060.8073255897,121541.454259317-67060.7383255897,115356.763596893-67060.8073255897,109172.003934469-67060.8073255897,102987.451272046-67060.6693255897,96802.7606096218-67060.6693255897,90618.0699471978-67060.6693255897,84433.2412847738-67060.8073255897,78248.5506223501-67060.8073255897,72063.9289599261-67060.7383255897
72064.1359599261-56087.487325603,78248.8956223501-56087.556325603,84433.5862847738-56087.625325603,90618.2079471978-56087.694325603,96802.9676096218-56087.694325603,102987.589272046-56087.694325603,109172.279934469-56087.556325603,115356.970596893-56087.556325603,121541.661259317-56087.625325603,127726.351921741-56087.556325603,133911.042584165-56087.556325603,140095.802246589-56087.487325603,146280.561909013-56087.556325603,152465.252571437-56087.487325603,158649.874233861-56087.349325603,164834.702896284-56087.418325603,171019.393558708-56087.418325603,177204.015221132-56087.349325603,183388.636883556-56087.349325603,189573.25854598-56087.211325603
189573.67254598-45114.0293256163,183389.119883556-45114.0293256163,177204.429221132-45114.1673256163,171019.807558709-45114.3053256163,164835.185896284-45114.3053256163,158650.426233861-45114.3053256163,152465.666571437-45114.3053256163,146280.975909013-45114.3743256163,140096.216246589-45114.3053256163,133911.525584165-45114.4433256163,127726.834921741-45114.4433256163,121542.075259317-45114.4433256163,115357.384596893-45114.4433256163,109172.693934469-45114.4433256163,102988.003272046-45114.4433256163,96803.3816096218-45114.4433256163,90618.6909471978-45114.4433256163,84433.9312847738-45114.4433256163,78249.2406223501-45114.4433256163,72064.5499599261-45114.4433256163
72064.7569599261-34141.3303256296,78249.4476223501-34141.3303256296,84434.0692847738-34141.3993256296,90618.8289471978-34141.3303256296,96803.5886096218-34141.3993256296,102988.279272046-34141.3993256296,109172.900934469-34141.3993256296,115357.522596893-34141.3303256296,121542.282259317-34141.3303256296,127726.903921741-34141.3303256296,133911.663584165-34141.2613256296,140096.492246589-34141.1923256296,146281.113909013-34141.1923256296,152465.873571437-34141.1923256296,158650.564233861-34141.1233256296,164835.323896284-34141.1923256296,171019.945558709-34141.1233256296,177204.705221132-34140.9853256296,183389.326883556-34141.0543256296,189573.94854598-34140.9163256296
189574.36254598-23167.9413256429,183389.671883556-23167.8033256429,177205.050221132-23167.9413256429,171020.428558708-23168.0103256429,164835.737896284-23168.0793256429,158650.978233861-23168.1483256429,152466.356571437-23168.2173256429,146281.527909013-23168.0793256429,140096.837246589-23168.2173256429,133912.077584165-23168.2173256429,127727.386921741-23168.2173256429,121542.627259317-23168.2173256429,115357.936596893-23168.2173256429,109173.314934469-23168.2863256429,102988.555272046-23168.2173256429,96803.9336096218-23168.3553256429,90619.1739471978-23168.2863256429,84434.4832847738-23168.2863256429,78249.7926223501-23168.1483256429,72065.1019599261-23168.2173256429
72065.3089599261-12194.9663256562,78249.9996223501-12194.9663256562,84434.6902847738-12195.0353256562,90619.3809471978-12195.0353256562,96804.1406096218-12195.1043256562,102988.831272046-12195.0353256562,109173.452934469-12194.9663256562,115358.143596893-12194.9663256562,121542.903259317-12194.9663256562,127727.593921741-12194.9663256562,133912.284584165-12194.8283256562,140097.044246589-12194.8973256562,146281.734909013-12194.8973256562,152466.425571437-12194.8283256562,158651.185233861-12194.8283256562,164835.944896284-12194.7593256562,171020.566558708-12194.7593256562,177205.257221132-12194.6903256562,183389.947883556-12194.6213256562,189574.63854598-12194.6213256562
189574.98354598-1221.30132566954,183390.361883556-1221.30132566954,177205.671221132-1221.37032566954,171020.980558708-1221.30132566954,164836.289896284-1221.43932566954,158651.530233861-1221.43932566954,152466.908571437-1221.57732566954,146282.286909013-1221.23232566954,140097.458246589-1221.57732566954,133912.698584165-1221.57732566954,127728.007921741-1221.50832566954,121543.317259317-1221.57732566954,115358.557596893-1221.57732566954,109173.935934469-1221.57732566954,102989.245272046-1221.71532566954,96804.5546096218-1221.57732566954,90619.7949471978-1221.64632566954,84435.0352847738-1221.57732566954,78250.3446223501-1221.57732566954,72065.5849599261-1221.37032566954
72065.8609599261--9751.67367431716,78250.6206223501--9751.81167431716,84435.3112847738--9751.53567431716,90620.0019471978--9751.53567431716,96804.7616096218--9751.67367431716,102989.383272046--9751.67367431716,109174.073934469--9751.81167431716,115358.764596893--9751.81167431716,121543.524259317--9751.74267431716,127728.145921741--9751.67367431716,133912.974584165--9751.67367431716,140097.665246589--9751.67367431716,146282.355909013--9751.81167431716,152467.184571437--9751.74267431716,158651.875233861--9751.81167431716,164836.565896284--9751.88067431716,171021.256558708--9751.94967431716,177205.947221132--9752.08767431716,183390.637883556--9752.01867431716,189575.32854598--9751.94967431716
189575.67354598--20725.0626743039,183390.982883556--20725.0626743039,177206.361221132--20724.9936743039,171021.670558708--20724.9246743039,164836.979896284--20724.9246743039,158652.220233861--20724.9246743039,152467.529571437--20724.8556743039,146282.769909013--20724.9246743039,140098.079246589--20724.7866743039,133913.319584165--20724.7866743039,127728.628921741--20724.8556743039,121543.869259317--20724.7866743039,115359.178596893--20724.9246743039,109174.487934469--20724.8556743039,102989.797272046--20724.7866743039,96805.1066096218--20724.8556743039,90620.3469471978--20724.7866743039,84435.5872847738--20724.7866743039,78250.8966223501--20724.7176743039,72066.2059599261--20724.7866743039
72066.4819599261--31697.8996742906,78251.1726223501--31697.8996742906,84435.8632847738--31697.7616742906,90620.5539471978--31697.8996742906,96805.3136096218--31697.8306742906,102990.004272046--31697.9686742906,109174.694934469--31697.8996742906,115359.385596893--31698.0376742906,121544.145259317--31698.0376742906,127728.904921741--31697.9686742906,133913.595584165--31698.0376742906,140098.355246589--31698.1066742906,146283.114909013--31698.0376742906,152467.736571437--31698.0376742906,158652.496233861--31698.0376742906,164837.255896284--31698.1756742906,171021.946558709--31698.1756742906,177206.637221132--31698.3136742906,183391.327883556--31698.3136742906,189576.01854598--31698.3136742906
189576.29454598--42671.4266742773,183391.603883556--42671.2886742773,177206.913221132--42671.2886742773,171022.291558709--42671.2886742773,164837.669896284--42671.2196742773,158652.841233861--42671.2886742773,152468.150571437--42671.0126742773,146283.459909013--42671.1506742773,140098.700246589--42671.0816742773,133913.940584165--42671.1506742773,127729.249921741--42671.0126742773,121544.490259317--42671.0126742773,115359.799596893--42671.0816742773,109175.039934469--42671.1506742773,102990.349272046--42671.0816742773,96805.6586096218--42671.1506742773,90620.9679471978--42671.0126742773,84436.2082847738--42670.9436742773,78251.5176223501--42671.0126742773,72066.8269599261--42671.1506742773
72066.9649599261--53644.263674264,78251.7246223501--53644.263674264,84436.4152847738--53644.263674264,90621.1059471978--53644.263674264,96805.9346096218--53644.263674264,102990.556272046--53644.125674264,109175.246934469--53644.194674264,115360.006596893--53644.263674264,121544.697259317--53644.263674264,127729.318921741--53644.263674264,133914.078584165--53644.263674264,140098.907246589--53644.263674264,146283.597909013--53644.401674264,152468.357571437--53644.470674264,158653.048233861--53644.539674264,164837.876896284--53644.539674264,171022.498558708--53644.470674264,177207.189221132--53644.539674264,183391.879883556--53644.677674264,189576.57054598--53644.539674264
