189572.98254598-67060.2553255897,183388.429883556-67060.2553255897,177203.877221132-67060.2553255897,171019.324558708-67060.2553255897,164834.771896285-67060.2553255897,158650.219233861-67060.2553255897,152465.666571437-67060.2553255897,146281.113909013-67060.2553255897,140096.561246589-67060.2553255897,133912.008584165-67060.2553255897,127727.455921741-67060.2553255897,121542.903259317-67060.2553255897,115358.350596893-67060.2553255897,109173.79793447-67060.2553255897,102989.245272046-67060.2553255897,96804.6926096217-67060.2553255897,90620.1399471978-67060.2553255897,84435.5872847739-67060.2553255897,78251.03462235-67060.2553255897,72066.4819599261-67060.2553255897
72066.4819599261-56087.418325603,78251.03462235-56087.418325603,84435.5872847739-56087.418325603,90620.1399471978-56087.418325603,96804.6926096217-56087.418325603,102989.245272046-56087.418325603,109173.79793447-56087.418325603,115358.350596893-56087.418325603,121542.903259317-56087.418325603,127727.455921741-56087.418325603,133912.008584165-56087.418325603,140096.561246589-56087.418325603,146281.113909013-56087.418325603,152465.666571437-56087.418325603,158650.219233861-56087.418325603,164834.771896285-56087.418325603,171019.324558708-56087.418325603,177203.877221132-56087.418325603,183388.429883556-56087.418325603,189572.98254598-56087.418325603
189572.98254598-45114.5813256163,183388.429883556-45114.5813256163,177203.877221132-45114.5813256163,171019.324558708-45114.5813256163,164834.771896285-45114.5813256163,158650.219233861-45114.5813256163,152465.666571437-45114.5813256163,146281.113909013-45114.5813256163,140096.561246589-45114.5813256163,133912.008584165-45114.5813256163,127727.455921741-45114.5813256163,121542.903259317-45114.5813256163,115358.350596893-45114.5813256163,109173.79793447-45114.5813256163,102989.245272046-45114.5813256163,96804.6926096217-45114.5813256163,90620.1399471978-45114.5813256163,84435.5872847739-45114.5813256163,78251.03462235-45114.5813256163,72066.4819599261-45114.5813256163
72066.4819599261-34141.7443256296,78251.03462235-34141.7443256296,84435.5872847739-34141.7443256296,90620.1399471978-34141.7443256296,96804.6926096217-34141.7443256296,102989.245272046-34141.7443256296,109173.79793447-34141.7443256296,115358.350596893-34141.7443256296,121542.903259317-34141.7443256296,127727.455921741-34141.7443256296,133912.008584165-34141.7443256296,140096.561246589-34141.7443256296,146281.113909013-34141.7443256296,152465.666571437-34141.7443256296,158650.219233861-34141.7443256296,164834.771896285-34141.7443256296,171019.324558708-34141.7443256296,177203.877221132-34141.7443256296,183388.429883556-34141.7443256296,189572.98254598-34141.7443256296
189572.98254598-23168.9073256429,183388.429883556-23168.9073256429,177203.877221132-23168.9073256429,171019.324558708-23168.9073256429,164834.771896285-23168.9073256429,158650.219233861-23168.9073256429,152465.666571437-23168.9073256429,146281.113909013-23168.9073256429,140096.561246589-23168.9073256429,133912.008584165-23168.9073256429,127727.455921741-23168.9073256429,121542.903259317-23168.9073256429,115358.350596893-23168.9073256429,109173.79793447-23168.9073256429,102989.245272046-23168.9073256429,96804.6926096217-23168.9073256429,90620.1399471978-23168.9073256429,84435.5872847739-23168.9073256429,78251.03462235-23168.9073256429,72066.4819599261-23168.9073256429
72066.4819599261-12196.0703256562,78251.03462235-12196.0703256562,84435.5872847739-12196.0703256562,90620.1399471978-12196.0703256562,96804.6926096217-12196.0703256562,102989.245272046-12196.0703256562,109173.79793447-12196.0703256562,115358.350596893-12196.0703256562,121542.903259317-12196.0703256562,127727.455921741-12196.0703256562,133912.008584165-12196.0703256562,140096.561246589-12196.0703256562,146281.113909013-12196.0703256562,152465.666571437-12196.0703256562,158650.219233861-12196.0703256562,164834.771896285-12196.0703256562,171019.324558708-12196.0703256562,177203.877221132-12196.0703256562,183388.429883556-12196.0703256562,189572.98254598-12196.0703256562
189572.98254598-1223.23332566954,183388.429883556-1223.23332566954,177203.877221132-1223.23332566954,171019.324558708-1223.23332566954,164834.771896285-1223.23332566954,158650.219233861-1223.23332566954,152465.666571437-1223.23332566954,146281.113909013-1223.23332566954,140096.561246589-1223.23332566954,133912.008584165-1223.23332566954,127727.455921741-1223.23332566954,121542.903259317-1223.23332566954,115358.350596893-1223.23332566954,109173.79793447-1223.23332566954,102989.245272046-1223.23332566954,96804.6926096217-1223.23332566954,90620.1399471978-1223.23332566954,84435.5872847739-1223.23332566954,78251.03462235-1223.23332566954,72066.4819599261-1223.23332566954
72066.4819599261--9749.60367431716,78251.03462235--9749.60367431716,84435.5872847739--9749.60367431716,90620.1399471978--9749.60367431716,96804.6926096217--9749.60367431716,102989.245272046--9749.60367431716,109173.79793447--9749.60367431716,115358.350596893--9749.60367431716,121542.903259317--9749.60367431716,127727.455921741--9749.60367431716,133912.008584165--9749.60367431716,140096.561246589--9749.60367431716,146281.113909013--9749.60367431716,152465.666571437--9749.60367431716,158650.219233861--9749.60367431716,164834.771896285--9749.60367431716,171019.324558708--9749.60367431716,177203.877221132--9749.60367431716,183388.429883556--9749.60367431716,189572.98254598--9749.60367431716
189572.98254598--20722.4406743039,183388.429883556--20722.4406743039,177203.877221132--20722.4406743039,171019.324558708--20722.4406743039,164834.771896285--20722.4406743039,158650.219233861--20722.4406743039,152465.666571437--20722.4406743039,146281.113909013--20722.4406743039,140096.561246589--20722.4406743039,133912.008584165--20722.4406743039,127727.455921741--20722.4406743039,121542.903259317--20722.4406743039,115358.350596893--20722.4406743039,109173.79793447--20722.4406743039,102989.245272046--20722.4406743039,96804.6926096217--20722.4406743039,90620.1399471978--20722.4406743039,84435.5872847739--20722.4406743039,78251.03462235--20722.4406743039,72066.4819599261--20722.4406743039
72066.4819599261--31695.2776742906,78251.03462235--31695.2776742906,84435.5872847739--31695.2776742906,90620.1399471978--31695.2776742906,96804.6926096217--31695.2776742906,102989.245272046--31695.2776742906,109173.79793447--31695.2776742906,115358.350596893--31695.2776742906,121542.903259317--31695.2776742906,127727.455921741--31695.2776742906,133912.008584165--31695.2776742906,140096.561246589--31695.2776742906,146281.113909013--31695.2776742906,152465.666571437--31695.2776742906,158650.219233861--31695.2776742906,164834.771896285--31695.2776742906,171019.324558708--31695.2776742906,177203.877221132--31695.2776742906,183388.429883556--31695.2776742906,189572.98254598--31695.2776742906
189572.98254598--42668.1146742773,183388.429883556--42668.1146742773,177203.877221132--42668.1146742773,171019.324558708--42668.1146742773,164834.771896285--42668.1146742773,158650.219233861--42668.1146742773,152465.666571437--42668.1146742773,146281.113909013--42668.1146742773,140096.561246589--42668.1146742773,133912.008584165--42668.1146742773,127727.455921741--42668.1146742773,121542.903259317--42668.1146742773,115358.350596893--42668.1146742773,109173.79793447--42668.1146742773,102989.245272046--42668.1146742773,96804.6926096217--42668.1146742773,90620.1399471978--42668.1146742773,84435.5872847739--42668.1146742773,78251.03462235--42668.1146742773,72066.4819599261--42668.1146742773
