189452.408037802-67006.4700001218,183268.002528339-67006.4700001218,177083.597018877-67006.4700001218,170899.191509415-67006.4700001218,164714.785999953-67006.4700001218,158530.380490491-67006.4700001218,152345.974981029-67006.4700001218,146161.569471566-67006.4700001218,139977.163962104-67006.4700001218,133792.758452642-67006.4700001218,127608.35294318-67006.4700001218,121423.947433718-67006.4700001218,115239.541924256-67006.4700001218,109055.136414793-67006.4700001218,102870.730905331-67006.4700001218
41026.6758107095-56033.7095913418,47211.0813201716-56033.7095913418,53395.4868296338-56033.7095913418,59579.892339096-56033.7095913418,65764.2978485581-56033.7095913418,71948.7033580203-56033.7095913418,78133.1088674825-56033.7095913418,84317.5143769447-56033.7095913418,90501.9198864068-56033.7095913418,96686.325395869-56033.7095913418,102870.730905331-56033.7095913418,109055.136414793-56033.7095913418,115239.541924256-56033.7095913418,121423.947433718-56033.7095913418,127608.35294318-56033.7095913418
189452.408037802-45060.9491825618,183268.002528339-45060.9491825618,177083.597018877-45060.9491825618,170899.191509415-45060.9491825618,164714.785999953-45060.9491825618,158530.380490491-45060.9491825618,152345.974981029-45060.9491825618,146161.569471566-45060.9491825618,139977.163962104-45060.9491825618,133792.758452642-45060.9491825618,127608.35294318-45060.9491825618,121423.947433718-45060.9491825618,115239.541924256-45060.9491825618,109055.136414793-45060.9491825618,102870.730905331-45060.9491825618
41026.6758107095-34088.1887737818,47211.0813201716-34088.1887737818,53395.4868296338-34088.1887737818,59579.892339096-34088.1887737818,65764.2978485581-34088.1887737818,71948.7033580203-34088.1887737818,78133.1088674825-34088.1887737818,84317.5143769447-34088.1887737818,90501.9198864068-34088.1887737818,96686.325395869-34088.1887737818,102870.730905331-34088.1887737818,109055.136414793-34088.1887737818,115239.541924256-34088.1887737818,121423.947433718-34088.1887737818,127608.35294318-34088.1887737818
189452.408037802-23115.4283650018,183268.002528339-23115.4283650018,177083.597018877-23115.4283650018,170899.191509415-23115.4283650018,164714.785999953-23115.4283650018,158530.380490491-23115.4283650018,152345.974981029-23115.4283650018,146161.569471566-23115.4283650018,139977.163962104-23115.4283650018,133792.758452642-23115.4283650018,127608.35294318-23115.4283650018,121423.947433718-23115.4283650018,115239.541924256-23115.4283650018,109055.136414793-23115.4283650018,102870.730905331-23115.4283650018
41026.6758107095-12142.6679562218,47211.0813201716-12142.6679562218,53395.4868296338-12142.6679562218,59579.892339096-12142.6679562218,65764.2978485581-12142.6679562218,71948.7033580203-12142.6679562218,78133.1088674825-12142.6679562218,84317.5143769447-12142.6679562218,90501.9198864068-12142.6679562218,96686.325395869-12142.6679562218,102870.730905331-12142.6679562218,109055.136414793-12142.6679562218,115239.541924256-12142.6679562218,121423.947433718-12142.6679562218,127608.35294318-12142.6679562218
189452.408037802-1169.90754744183,183268.002528339-1169.90754744183,177083.597018877-1169.90754744183,170899.191509415-1169.90754744183,164714.785999953-1169.90754744183,158530.380490491-1169.90754744183,152345.974981029-1169.90754744183,146161.569471566-1169.90754744183,139977.163962104-1169.90754744183,133792.758452642-1169.90754744183,127608.35294318-1169.90754744183,121423.947433718-1169.90754744183,115239.541924256-1169.90754744183,109055.136414793-1169.90754744183,102870.730905331-1169.90754744183
41026.6758107095--9802.85286133817,47211.0813201716--9802.85286133817,53395.4868296338--9802.85286133817,59579.892339096--9802.85286133817,65764.2978485581--9802.85286133817,71948.7033580203--9802.85286133817,78133.1088674825--9802.85286133817,84317.5143769447--9802.85286133817,90501.9198864068--9802.85286133817,96686.325395869--9802.85286133817,102870.730905331--9802.85286133817,109055.136414793--9802.85286133817,115239.541924256--9802.85286133817,121423.947433718--9802.85286133817,127608.35294318--9802.85286133817
189452.408037802--20775.6132701182,183268.002528339--20775.6132701182,177083.597018877--20775.6132701182,170899.191509415--20775.6132701182,164714.785999953--20775.6132701182,158530.380490491--20775.6132701182,152345.974981029--20775.6132701182,146161.569471566--20775.6132701182,139977.163962104--20775.6132701182,133792.758452642--20775.6132701182,127608.35294318--20775.6132701182,121423.947433718--20775.6132701182,115239.541924256--20775.6132701182,109055.136414793--20775.6132701182,102870.730905331--20775.6132701182
41026.6758107095--31748.3736788982,47211.0813201716--31748.3736788982,53395.4868296338--31748.3736788982,59579.892339096--31748.3736788982,65764.2978485581--31748.3736788982,71948.7033580203--31748.3736788982,78133.1088674825--31748.3736788982,84317.5143769447--31748.3736788982,90501.9198864068--31748.3736788982,96686.325395869--31748.3736788982,102870.730905331--31748.3736788982,109055.136414793--31748.3736788982,115239.541924256--31748.3736788982,121423.947433718--31748.3736788982,127608.35294318--31748.3736788982
189452.408037802--42721.1340876782,183268.002528339--42721.1340876782,177083.597018877--42721.1340876782,170899.191509415--42721.1340876782,164714.785999953--42721.1340876782,158530.380490491--42721.1340876782,152345.974981029--42721.1340876782,146161.569471566--42721.1340876782,139977.163962104--42721.1340876782,133792.758452642--42721.1340876782,127608.35294318--42721.1340876782,121423.947433718--42721.1340876782,115239.541924256--42721.1340876782,109055.136414793--42721.1340876782,102870.730905331--42721.1340876782
41026.6758107095--53693.8944964582,47211.0813201716--53693.8944964582,53395.4868296338--53693.8944964582,59579.892339096--53693.8944964582,65764.2978485581--53693.8944964582,71948.7033580203--53693.8944964582,78133.1088674825--53693.8944964582,84317.5143769447--53693.8944964582,90501.9198864068--53693.8944964582,96686.325395869--53693.8944964582,102870.730905331--53693.8944964582,109055.136414793--53693.8944964582,115239.541924256--53693.8944964582,121423.947433718--53693.8944964582,127608.35294318--53693.8944964582
189452.408037802--64666.6549052382,183268.002528339--64666.6549052382,177083.597018877--64666.6549052382,170899.191509415--64666.6549052382,164714.785999953--64666.6549052382,158530.380490491--64666.6549052382,152345.974981029--64666.6549052382,146161.569471566--64666.6549052382,139977.163962104--64666.6549052382,133792.758452642--64666.6549052382,127608.35294318--64666.6549052382,121423.947433718--64666.6549052382,115239.541924256--64666.6549052382,109055.136414793--64666.6549052382,102870.730905331--64666.6549052382
41026.6758107095--75639.4153140182,47211.0813201716--75639.4153140182,53395.4868296338--75639.4153140182,59579.892339096--75639.4153140182,65764.2978485581--75639.4153140182,71948.7033580203--75639.4153140182,78133.1088674825--75639.4153140182,84317.5143769447--75639.4153140182,90501.9198864068--75639.4153140182,96686.325395869--75639.4153140182,102870.730905331--75639.4153140182,109055.136414793--75639.4153140182,115239.541924256--75639.4153140182,121423.947433718--75639.4153140182,127608.35294318--75639.4153140182
189452.408037802--86612.1757227982,183268.002528339--86612.1757227982,177083.597018877--86612.1757227982,170899.191509415--86612.1757227982,164714.785999953--86612.1757227982,158530.380490491--86612.1757227982,152345.974981029--86612.1757227982,146161.569471566--86612.1757227982,139977.163962104--86612.1757227982,133792.758452642--86612.1757227982,127608.35294318--86612.1757227982,121423.947433718--86612.1757227982,115239.541924256--86612.1757227982,109055.136414793--86612.1757227982,102870.730905331--86612.1757227982
