189452.408037802-67006.4700001218,183268.002528339-67006.4700001218,177083.597018877-67006.4700001218,170899.191509415-67006.4700001218,164714.785999953-67006.4700001218,158530.380490491-67006.4700001218,152345.974981029-67006.4700001218,146161.569471566-67006.4700001218,139977.163962104-67006.4700001218,133792.758452642-67006.4700001218,127608.35294318-67006.4700001218,121423.947433718-67006.4700001218,115239.541924256-67006.4700001218,109055.136414793-67006.4700001218,102870.730905331-67006.4700001218,96686.325395869-67006.4700001218,90501.9198864068-67006.4700001218,84317.5143769447-67006.4700001218,78133.1088674825-67006.4700001218,71948.7033580203-67006.4700001218,65764.2978485581-67006.4700001218,59579.892339096-67006.4700001218,53395.4868296338-67006.4700001218,47211.0813201716-67006.4700001218,41026.6758107095-67006.4700001218
41026.6758107095-56033.7095913418,47211.0813201716-56033.7095913418,53395.4868296338-56033.7095913418,59579.892339096-56033.7095913418,65764.2978485581-56033.7095913418,71948.7033580203-56033.7095913418,78133.1088674825-56033.7095913418,84317.5143769447-56033.7095913418,90501.9198864068-56033.7095913418,96686.325395869-56033.7095913418,102870.730905331-56033.7095913418,109055.136414793-56033.7095913418,115239.541924256-56033.7095913418,121423.947433718-56033.7095913418,127608.35294318-56033.7095913418,133792.758452642-56033.7095913418,139977.163962104-56033.7095913418,146161.569471566-56033.7095913418,152345.974981029-56033.7095913418,158530.380490491-56033.7095913418,164714.785999953-56033.7095913418,170899.191509415-56033.7095913418,177083.597018877-56033.7095913418,183268.002528339-56033.7095913418,189452.408037802-56033.7095913418
189452.408037802-45060.9491825618,183268.002528339-45060.9491825618,177083.597018877-45060.9491825618,170899.191509415-45060.9491825618,164714.785999953-45060.9491825618,158530.380490491-45060.9491825618,152345.974981029-45060.9491825618,146161.569471566-45060.9491825618,139977.163962104-45060.9491825618,133792.758452642-45060.9491825618,127608.35294318-45060.9491825618,121423.947433718-45060.9491825618,115239.541924256-45060.9491825618,109055.136414793-45060.9491825618,102870.730905331-45060.9491825618,96686.325395869-45060.9491825618,90501.9198864068-45060.9491825618,84317.5143769447-45060.9491825618,78133.1088674825-45060.9491825618,71948.7033580203-45060.9491825618,65764.2978485581-45060.9491825618,59579.892339096-45060.9491825618,53395.4868296338-45060.9491825618,47211.0813201716-45060.9491825618,41026.6758107095-45060.9491825618
41026.6758107095-34088.1887737818,47211.0813201716-34088.1887737818,53395.4868296338-34088.1887737818,59579.892339096-34088.1887737818,65764.2978485581-34088.1887737818,71948.7033580203-34088.1887737818,78133.1088674825-34088.1887737818,84317.5143769447-34088.1887737818,90501.9198864068-34088.1887737818,96686.325395869-34088.1887737818,102870.730905331-34088.1887737818,109055.136414793-34088.1887737818,115239.541924256-34088.1887737818,121423.947433718-34088.1887737818,127608.35294318-34088.1887737818,133792.758452642-34088.1887737818,139977.163962104-34088.1887737818,146161.569471566-34088.1887737818,152345.974981029-34088.1887737818,158530.380490491-34088.1887737818,164714.785999953-34088.1887737818,170899.191509415-34088.1887737818,177083.597018877-34088.1887737818,183268.002528339-34088.1887737818,189452.408037802-34088.1887737818
189452.408037802-23115.4283650018,183268.002528339-23115.4283650018,177083.597018877-23115.4283650018,170899.191509415-23115.4283650018,164714.785999953-23115.4283650018,158530.380490491-23115.4283650018,152345.974981029-23115.4283650018,146161.569471566-23115.4283650018,139977.163962104-23115.4283650018,133792.758452642-23115.4283650018,127608.35294318-23115.4283650018,121423.947433718-23115.4283650018,115239.541924256-23115.4283650018,109055.136414793-23115.4283650018,102870.730905331-23115.4283650018,96686.325395869-23115.4283650018,90501.9198864068-23115.4283650018,84317.5143769447-23115.4283650018,78133.1088674825-23115.4283650018,71948.7033580203-23115.4283650018,65764.2978485581-23115.4283650018,59579.892339096-23115.4283650018,53395.4868296338-23115.4283650018,47211.0813201716-23115.4283650018,41026.6758107095-23115.4283650018
41026.6758107095-12142.6679562218,47211.0813201716-12142.6679562218,53395.4868296338-12142.6679562218,59579.892339096-12142.6679562218,65764.2978485581-12142.6679562218,71948.7033580203-12142.6679562218,78133.1088674825-12142.6679562218,84317.5143769447-12142.6679562218,90501.9198864068-12142.6679562218,96686.325395869-12142.6679562218,102870.730905331-12142.6679562218,109055.136414793-12142.6679562218,115239.541924256-12142.6679562218,121423.947433718-12142.6679562218,127608.35294318-12142.6679562218,133792.758452642-12142.6679562218,139977.163962104-12142.6679562218,146161.569471566-12142.6679562218,152345.974981029-12142.6679562218,158530.380490491-12142.6679562218,164714.785999953-12142.6679562218,170899.191509415-12142.6679562218,177083.597018877-12142.6679562218,183268.002528339-12142.6679562218,189452.408037802-12142.6679562218
189452.408037802-1169.90754744183,183268.002528339-1169.90754744183,177083.597018877-1169.90754744183,170899.191509415-1169.90754744183,164714.785999953-1169.90754744183,158530.380490491-1169.90754744183,152345.974981029-1169.90754744183,146161.569471566-1169.90754744183,139977.163962104-1169.90754744183,133792.758452642-1169.90754744183,127608.35294318-1169.90754744183,121423.947433718-1169.90754744183,115239.541924256-1169.90754744183,109055.136414793-1169.90754744183,102870.730905331-1169.90754744183,96686.325395869-1169.90754744183,90501.9198864068-1169.90754744183,84317.5143769447-1169.90754744183,78133.1088674825-1169.90754744183,71948.7033580203-1169.90754744183,65764.2978485581-1169.90754744183,59579.892339096-1169.90754744183,53395.4868296338-1169.90754744183,47211.0813201716-1169.90754744183,41026.6758107095-1169.90754744183
41026.6758107095--9802.85286133817,47211.0813201716--9802.85286133817,53395.4868296338--9802.85286133817,59579.892339096--9802.85286133817,65764.2978485581--9802.85286133817,71948.7033580203--9802.85286133817,78133.1088674825--9802.85286133817,84317.5143769447--9802.85286133817,90501.9198864068--9802.85286133817,96686.325395869--9802.85286133817,102870.730905331--9802.85286133817,109055.136414793--9802.85286133817,115239.541924256--9802.85286133817,121423.947433718--9802.85286133817,127608.35294318--9802.85286133817,133792.758452642--9802.85286133817,139977.163962104--9802.85286133817,146161.569471566--9802.85286133817,152345.974981029--9802.85286133817,158530.380490491--9802.85286133817,164714.785999953--9802.85286133817,170899.191509415--9802.85286133817,177083.597018877--9802.85286133817,183268.002528339--9802.85286133817,189452.408037802--9802.85286133817
189452.408037802--20775.6132701182,183268.002528339--20775.6132701182,177083.597018877--20775.6132701182,170899.191509415--20775.6132701182,164714.785999953--20775.6132701182,158530.380490491--20775.6132701182,152345.974981029--20775.6132701182,146161.569471566--20775.6132701182,139977.163962104--20775.6132701182,133792.758452642--20775.6132701182,127608.35294318--20775.6132701182,121423.947433718--20775.6132701182,115239.541924256--20775.6132701182,109055.136414793--20775.6132701182,102870.730905331--20775.6132701182,96686.325395869--20775.6132701182,90501.9198864068--20775.6132701182,84317.5143769447--20775.6132701182,78133.1088674825--20775.6132701182,71948.7033580203--20775.6132701182,65764.2978485581--20775.6132701182,59579.892339096--20775.6132701182,53395.4868296338--20775.6132701182,47211.0813201716--20775.6132701182,41026.6758107095--20775.6132701182
41026.6758107095--31748.3736788982,47211.0813201716--31748.3736788982,53395.4868296338--31748.3736788982,59579.892339096--31748.3736788982,65764.2978485581--31748.3736788982,71948.7033580203--31748.3736788982,78133.1088674825--31748.3736788982,84317.5143769447--31748.3736788982,90501.9198864068--31748.3736788982,96686.325395869--31748.3736788982,102870.730905331--31748.3736788982,109055.136414793--31748.3736788982,115239.541924256--31748.3736788982,121423.947433718--31748.3736788982,127608.35294318--31748.3736788982,133792.758452642--31748.3736788982,139977.163962104--31748.3736788982,146161.569471566--31748.3736788982,152345.974981029--31748.3736788982,158530.380490491--31748.3736788982,164714.785999953--31748.3736788982,170899.191509415--31748.3736788982,177083.597018877--31748.3736788982,183268.002528339--31748.3736788982,189452.408037802--31748.3736788982
189452.408037802--42721.1340876782,183268.002528339--42721.1340876782,177083.597018877--42721.1340876782,170899.191509415--42721.1340876782,164714.785999953--42721.1340876782,158530.380490491--42721.1340876782,152345.974981029--42721.1340876782,146161.569471566--42721.1340876782,139977.163962104--42721.1340876782,133792.758452642--42721.1340876782,127608.35294318--42721.1340876782,121423.947433718--42721.1340876782,115239.541924256--42721.1340876782,109055.136414793--42721.1340876782,102870.730905331--42721.1340876782,96686.325395869--42721.1340876782,90501.9198864068--42721.1340876782,84317.5143769447--42721.1340876782,78133.1088674825--42721.1340876782,71948.7033580203--42721.1340876782,65764.2978485581--42721.1340876782,59579.892339096--42721.1340876782,53395.4868296338--42721.1340876782,47211.0813201716--42721.1340876782,41026.6758107095--42721.1340876782
