176795.796499003^77868.6110004713,170611.062043598^77868.6110004713,164426.741588194^77868.6800004713,158241.662132789^77868.4730004713,152057.134677384^77868.4730004713,145872.40022198^77868.4730004713,139687.458766575^77868.5420004713,133502.79331117^77868.5420004713,127317.989855765^77868.6110004713,121133.25540036^77868.5420004713,114948.520944955^77868.4730004713,108763.85548955^77868.3350004713,102579.121034145^77868.2660004713,96394.3865787406^77868.1970004713,90209.6521233359^77868.1970004713,84024.779667931^77868.0590004713,77840.0452125261^77868.0590004713,71655.3797571213^77868.0590004713
71654.9657571213^66894.7723494114,77839.7002125261^66894.9103494114,84024.365667931^66894.8413494114,90209.1001233358^66894.7723494114,96393.9035787406^66894.9103494114,102578.569034145^66894.9793494114,108763.23448955^66895.0483494114,114947.968944955^66895.0483494114,121132.97940036^66895.1863494114,127317.575855765^66895.1863494114,133502.17231117^66895.1173494114,139687.113766575^66895.1863494114,145871.84822198^66895.2553494114,152056.582677384^66895.1863494114,158241.317132789^66895.3243494114,164426.120588194^66895.1863494114,170610.924043598^66895.3243494114,176795.382499003^66895.2553494114
176795.244499003^55921.8996983515,170610.579043598^55922.1066983515,164425.913588194^55921.9686983515,158241.179132789^55922.0376983515,152056.444677384^55922.0376983515,145871.71022198^55921.9686983515,139686.837766575^55921.9686983515,133502.10331117^55921.9686983515,127317.437855765^55921.8996983515,121132.70340036^55921.8996983515,114947.899944955^55921.8306983515,108763.23448955^55921.7616983515,102578.569034145^55921.8306983515,96393.6965787406^55921.7616983515,90209.0311233359^55921.6236983515,84024.296667931^55921.6236983515,77839.4932125261^55921.4856983515,71654.6207571213^55921.3476983515
71654.3447571213^44948.2680472917,77839.0792125261^44948.3370472917,84023.882667931^44948.3370472917,90208.5481233358^44948.4750472917,96393.3515787406^44948.4750472917,102578.086034145^44948.4750472917,108762.75148955^44948.4750472917,114947.554944955^44948.6130472917,121132.22040036^44948.6130472917,127317.023855765^44948.6130472917,133501.82731117^44948.6130472917,139686.423766575^44948.4750472917,145871.22722198^44948.5440472917,152056.030677384^44948.6130472917,158240.696132789^44948.6130472917,164425.568588194^44948.6130472917,170610.234043598^44948.6130472917,176794.899499003^44948.6130472917
176794.692499003^33975.4643962318,170610.096043598^33975.5333962318,164425.361588194^33975.6023962318,158240.558132789^33975.5333962318,152055.823677384^33975.4643962318,145871.08922198^33975.4643962318,139686.423766575^33975.4643962318,133501.55131117^33975.3263962318,127316.816855765^33975.3953962318,121132.08240036^33975.3953962318,114947.347944955^33975.3263962318,108762.61348955^33975.3263962318,102577.879034145^33975.3263962318,96393.1445787406^33975.1883962318,90208.3411233358^33975.1883962318,84023.606667931^33975.1193962318,77838.8722125261^33975.0503962318,71654.1377571213^33974.9123962318
71653.7237571213^23001.7637451719,77838.5272125261^23001.9017451719,84023.261667931^23002.0397451719,90207.9961233358^23002.0397451719,96392.7305787406^23002.1777451719,102577.396034145^23002.0397451719,108762.19948955^23002.1777451719,114947.002944955^23002.0397451719,121131.66840036^23002.1087451719,127316.402855765^23002.1777451719,133501.13731117^23002.1777451719,139685.940766575^23002.0397451719,145870.74422198^23002.2467451719,152055.547677384^23002.2467451719,158240.213132789^23002.1777451719,164425.016588194^23002.1777451719,170609.682043598^23002.1777451719,176794.416499003^23002.2467451719
176794.140499003^12028.891094112,170609.475043598^12028.960094112,164424.740588194^12029.029094112,158240.006132789^12029.029094112,152055.340677384^12028.960094112,145870.46822198^12029.029094112,139685.733766575^12028.891094112,133500.93031117^12028.753094112,127316.195855765^12028.960094112,121131.46140036^12028.822094112,114946.657944955^12028.753094112,108761.92348955^12028.753094112,102577.258034145^12028.684094112,96392.4545787406^12028.753094112,90207.7201233359^12028.615094112,84022.985667931^12028.615094112,77838.1822125261^12028.477094112,71653.4477571213^12028.477094112
71653.1027571213^1054.84544305214,77837.9062125261^1055.05244305214,84022.640667931^1054.98344305214,90207.3751233358^1055.25944305214,96392.1095787406^1055.25944305214,102576.844034145^1055.25944305214,108761.64748955^1055.19044305214,114946.312944955^1055.32844305214,121131.04740036^1055.25944305214,127315.850855765^1055.19044305214,133500.65431117^1055.25944305214,139685.388766575^1055.25944305214,145870.26122198^1053.94844305214,152054.926677384^1055.39744305214,158239.661132789^1055.32844305214,164424.326588194^1055.32844305214,170609.130043598^1055.32844305214,176793.933499003^1055.60444305214
176793.657499003^-9918.02720800774,170608.854043598^-9917.82020800774,164424.119588194^-9917.82020800774,158239.454132789^-9917.82020800774,152054.719677384^-9917.88920800774,145869.91622198^-9917.88920800774,139685.181766575^-9917.82020800774,133500.44731117^-9917.82020800774,127315.574855765^-9917.82020800774,121130.90940036^-9918.02720800774,114946.105944955^-9918.09620800774,108761.44048955^-9918.23420800774,102576.706034145^-9918.09620800774,96391.9025787406^-9918.16520800774,90207.1681233358^-9918.16520800774,84022.433667931^-9918.23420800774,77837.6302125261^-9918.37220800774,71652.8957571213^-9918.51020800774
71652.4817571213^-20891.5898590676,77837.2852125261^-20891.4518590676,84022.019667931^-20891.4518590676,90206.7541233359^-20891.3828590676,96391.5575787406^-20891.4518590676,102576.292034145^-20891.2448590676,108761.02648955^-20891.5208590676,114945.760944955^-20891.4518590676,121130.49540036^-20891.1758590676,127315.298855765^-20891.2448590676,133500.10231117^-20891.2448590676,139684.836766575^-20891.0378590676,145869.64022198^-20891.3138590676,152054.443677384^-20891.1068590676,158239.109132789^-20891.3138590676,164423.981588194^-20891.2448590676,170608.578043598^-20891.1068590676,176793.450499003^-20891.1068590676
176793.174499003^-31864.3245101275,170608.440043598^-31864.2555101275,164423.705588194^-31864.3245101275,158238.971132789^-31864.2555101275,152054.236677384^-31864.3245101275,145869.43322198^-31864.2555101275,139684.767766575^-31864.3935101275,133499.82631117^-31864.5315101275,127315.160855765^-31864.3935101275,121130.21940036^-31864.5315101275,114945.553944955^-31864.6695101275,108760.81948955^-31864.5315101275,102576.085034145^-31864.8075101275,96391.3505787406^-31864.5315101275,90206.5471233358^-31864.6695101275,84021.881667931^-31864.6695101275,77837.0092125261^-31864.8075101275,71652.2057571213^-31864.8075101275
