176828.128330155^78028.2469999992,170641.195967585^78028.2469999992,164454.263605015^78028.2469999992,158267.331242445^78028.2469999992,152080.398879875^78028.2469999992,145893.466517305^78028.2469999992,139706.534154735^78028.2469999992,133519.601792165^78028.2469999992,127332.669429595^78028.2469999992,121145.737067024^78028.2469999992,114958.804704454^78028.2469999992,108771.872341884^78028.2469999992,102584.939979314^78028.2469999992,96398.007616744^78028.2469999992,90211.0752541739^78028.2469999992,84024.1428916038^78028.2469999992,77837.2105290336^78028.2469999992,71650.2781664635^78028.2469999992
71650.2781664635^67055.0229999993,77837.2105290336^67055.0229999993,84024.1428916038^67055.0229999993,90211.0752541739^67055.0229999993,96398.007616744^67055.0229999993,102584.939979314^67055.0229999993,108771.872341884^67055.0229999993,114958.804704454^67055.0229999993,121145.737067024^67055.0229999993,127332.669429595^67055.0229999993,133519.601792165^67055.0229999993,139706.534154735^67055.0229999993,145893.466517305^67055.0229999993,152080.398879875^67055.0229999993,158267.331242445^67055.0229999993,164454.263605015^67055.0229999993,170641.195967585^67055.0229999993,176828.128330155^67055.0229999993
176828.128330155^56081.7989999995,170641.195967585^56081.7989999995,164454.263605015^56081.7989999995,158267.331242445^56081.7989999995,152080.398879875^56081.7989999995,145893.466517305^56081.7989999995,139706.534154735^56081.7989999995,133519.601792165^56081.7989999995,127332.669429595^56081.7989999995,121145.737067024^56081.7989999995,114958.804704454^56081.7989999995,108771.872341884^56081.7989999995,102584.939979314^56081.7989999995,96398.007616744^56081.7989999995,90211.0752541739^56081.7989999995,84024.1428916038^56081.7989999995,77837.2105290336^56081.7989999995,71650.2781664635^56081.7989999995
71650.2781664635^45108.5749999996,77837.2105290336^45108.5749999996,84024.1428916038^45108.5749999996,90211.0752541739^45108.5749999996,96398.007616744^45108.5749999996,102584.939979314^45108.5749999996,108771.872341884^45108.5749999996,114958.804704454^45108.5749999996,121145.737067024^45108.5749999996,127332.669429595^45108.5749999996,133519.601792165^45108.5749999996,139706.534154735^45108.5749999996,145893.466517305^45108.5749999996,152080.398879875^45108.5749999996,158267.331242445^45108.5749999996,164454.263605015^45108.5749999996,170641.195967585^45108.5749999996,176828.128330155^45108.5749999996
176828.128330155^34135.3509999997,170641.195967585^34135.3509999997,164454.263605015^34135.3509999997,158267.331242445^34135.3509999997,152080.398879875^34135.3509999997,145893.466517305^34135.3509999997,139706.534154735^34135.3509999997,133519.601792165^34135.3509999997,127332.669429595^34135.3509999997,121145.737067024^34135.3509999997,114958.804704454^34135.3509999997,108771.872341884^34135.3509999997,102584.939979314^34135.3509999997,96398.007616744^34135.3509999997,90211.0752541739^34135.3509999997,84024.1428916038^34135.3509999997,77837.2105290336^34135.3509999997,71650.2781664635^34135.3509999997
71650.2781664635^23162.1269999999,77837.2105290336^23162.1269999999,84024.1428916038^23162.1269999999,90211.0752541739^23162.1269999999,96398.007616744^23162.1269999999,102584.939979314^23162.1269999999,108771.872341884^23162.1269999999,114958.804704454^23162.1269999999,121145.737067024^23162.1269999999,127332.669429595^23162.1269999999,133519.601792165^23162.1269999999,139706.534154735^23162.1269999999,145893.466517305^23162.1269999999,152080.398879875^23162.1269999999,158267.331242445^23162.1269999999,164454.263605015^23162.1269999999,170641.195967585^23162.1269999999,176828.128330155^23162.1269999999
176828.128330155^12188.903,170641.195967585^12188.903,164454.263605015^12188.903,158267.331242445^12188.903,152080.398879875^12188.903,145893.466517305^12188.903,139706.534154735^12188.903,133519.601792165^12188.903,127332.669429595^12188.903,121145.737067024^12188.903,114958.804704454^12188.903,108771.872341884^12188.903,102584.939979314^12188.903,96398.007616744^12188.903,90211.0752541739^12188.903,84024.1428916038^12188.903,77837.2105290336^12188.903,71650.2781664635^12188.903
71650.2781664635^1215.67900000017,77837.2105290336^1215.67900000017,84024.1428916038^1215.67900000017,90211.0752541739^1215.67900000017,96398.007616744^1215.67900000017,102584.939979314^1215.67900000017,108771.872341884^1215.67900000017,114958.804704454^1215.67900000017,121145.737067024^1215.67900000017,127332.669429595^1215.67900000017,133519.601792165^1215.67900000017,139706.534154735^1215.67900000017,145893.466517305^1215.67900000017,152080.398879875^1215.67900000017,158267.331242445^1215.67900000017,164454.263605015^1215.67900000017,170641.195967585^1215.67900000017,176828.128330155^1215.67900000017
176828.128330155^-9757.54499999968,170641.195967585^-9757.54499999968,164454.263605015^-9757.54499999968,158267.331242445^-9757.54499999968,152080.398879875^-9757.54499999968,145893.466517305^-9757.54499999968,139706.534154735^-9757.54499999968,133519.601792165^-9757.54499999968,127332.669429595^-9757.54499999968,121145.737067024^-9757.54499999968,114958.804704454^-9757.54499999968,108771.872341884^-9757.54499999968,102584.939979314^-9757.54499999968,96398.007616744^-9757.54499999968,90211.0752541739^-9757.54499999968,84024.1428916038^-9757.54499999968,77837.2105290336^-9757.54499999968,71650.2781664635^-9757.54499999968
71650.2781664635^-20730.7689999995,77837.2105290336^-20730.7689999995,84024.1428916038^-20730.7689999995,90211.0752541739^-20730.7689999995,96398.007616744^-20730.7689999995,102584.939979314^-20730.7689999995,108771.872341884^-20730.7689999995,114958.804704454^-20730.7689999995,121145.737067024^-20730.7689999995,127332.669429595^-20730.7689999995,133519.601792165^-20730.7689999995,139706.534154735^-20730.7689999995,145893.466517305^-20730.7689999995,152080.398879875^-20730.7689999995,158267.331242445^-20730.7689999995,164454.263605015^-20730.7689999995,170641.195967585^-20730.7689999995,176828.128330155^-20730.7689999995
176828.128330155^-31703.9929999994,170641.195967585^-31703.9929999994,164454.263605015^-31703.9929999994,158267.331242445^-31703.9929999994,152080.398879875^-31703.9929999994,145893.466517305^-31703.9929999994,139706.534154735^-31703.9929999994,133519.601792165^-31703.9929999994,127332.669429595^-31703.9929999994,121145.737067024^-31703.9929999994,114958.804704454^-31703.9929999994,108771.872341884^-31703.9929999994,102584.939979314^-31703.9929999994,96398.007616744^-31703.9929999994,90211.0752541739^-31703.9929999994,84024.1428916038^-31703.9929999994,77837.2105290336^-31703.9929999994,71650.2781664635^-31703.9929999994
