176789.126662221^77988.3990000006,170606.132985286^77988.5370000006,164423.139308352^77988.6060000006,158239.869631417^77988.5370000006,152056.737954483^77988.6060000006,145873.537277548^77988.6060000006,139690.198600614^77988.6750000006,133507.066923679^77988.8130000006,127323.866246744^77988.8130000006,121140.66556981^77988.8130000006,114957.464892875^77988.8130000006,108774.333215941^77988.7440000006,102591.132539006^77988.6750000006,96408.0008620715^77988.6750000006,90224.869185137^77988.6060000006,84041.5995082024^77988.6060000006,77858.3988312678^77988.6750000006,71675.3361543333^77988.6750000006
71674.9221543333^67015.3793749979,77857.9848312678^67015.5173749979,84041.1165082024^67015.5173749979,90224.386185137^67015.4483749979,96407.5868620715^67015.3793749979,102590.718539006^67015.4483749979,108773.988215941^67015.5173749979,114957.050892875^67015.5173749979,121140.25156981^67015.5173749979,127323.452246744^67015.5173749979,133506.583923679^67015.4483749979,139689.853600614^67015.4483749979,145873.123277548^67015.4483749979,152056.323954483^67015.5173749979,158239.524631417^67015.5173749979,164422.725308352^67015.3103749979,170606.063985286^67015.4483749979,176788.988662221^67015.3103749979
176788.850662221^56041.9457499953,170605.718985286^56042.2217499953,164422.656308352^56042.2217499953,158239.386631417^56042.2217499953,152056.254954483^56042.3597499953,145873.123277548^56042.4287499953,139689.853600614^56042.3597499953,133506.583923679^56042.4977499953,127323.452246744^56042.3597499953,121140.32056981^56042.4287499953,114957.050892875^56042.3597499953,108773.919215941^56042.3597499953,102590.718539006^56042.4287499953,96407.5178620715^56042.3597499953,90224.386185137^56042.4287499953,84041.1855082024^56042.2907499953,77857.8468312678^56042.2907499953,71674.6461543333^56042.1527499953
71674.4391543333^45069.2711249927,77857.5708312678^45069.1331249927,84040.8405082024^45069.1331249927,90224.041185137^45069.2021249927,96407.1728620715^45069.1331249927,102590.304539006^45069.2021249927,108773.505215941^45069.1331249927,114956.705892875^45069.1331249927,121139.83756981^45069.1331249927,127323.038246744^45069.1331249927,133506.238923679^45069.0641249927,139689.370600614^45068.9951249927,145872.571277548^45068.9951249927,152055.840954483^45068.9951249927,158238.972631417^45068.9261249927,164422.311308352^45068.8571249927,170605.442985286^45068.9951249927,176788.574662221^45068.8571249927
176788.367662221^34095.63049999,170605.304985286^34095.76849999,164422.173308352^34095.97549999,158238.903631417^34095.90649999,152055.771954483^34096.04449999,145872.571277548^34095.97549999,139689.370600614^34096.04449999,133506.169923679^34096.04449999,127322.900246744^34096.04449999,121139.69956981^34096.11349999,114956.567892875^34096.04449999,108773.367215941^34096.04449999,102590.166539006^34096.04449999,96407.0348620715^34096.04449999,90223.765185137^34096.04449999,84040.6335082024^34095.97549999,77857.4328312678^34095.97549999,71674.2321543333^34095.90649999
71673.8871543333^23122.7488749874,77857.0878312678^23122.8178749874,84040.2885082024^23122.9558749874,90223.420185137^23122.8868749874,96406.6208620715^23122.9558749874,102589.821539006^23122.8178749874,108773.022215941^23122.8868749874,114956.153892875^23122.8178749874,121139.35456981^23122.8178749874,127322.555246744^23122.8178749874,133505.755923679^23122.8868749874,139688.956600614^23122.6798749874,145872.226277548^23122.7488749874,152055.495954483^23122.6798749874,158238.696631417^23122.6798749874,164421.828308352^23122.6108749874,170605.028985286^23122.6108749874,176788.160662221^23122.5418749874
176787.953662221^12149.3152499848,170604.890985286^12149.4532499848,164421.621308352^12149.4532499848,158238.489631417^12149.5912499848,152055.288954483^12149.5912499848,145872.019277548^12149.5912499848,139688.818600614^12149.5912499848,133505.617923679^12149.4532499848,127322.486246744^12149.5912499848,121139.21656981^12149.5912499848,114956.015892875^12149.7292499848,108772.884215941^12149.5912499848,102589.683539006^12149.6602499848,96406.4138620715^12149.6602499848,90223.351185137^12149.5912499848,84040.0815082024^12149.5912499848,77856.8118312678^12149.5222499848,71673.6801543333^12149.5912499848
71673.4041543333^1175.74362498212,77856.5358312678^1176.08862498212,84039.8055082024^1176.01962498212,90222.937185137^1176.22662498212,96406.1378620715^1176.22662498212,102589.338539006^1176.15762498212,108772.539215941^1176.08862498212,114955.739892875^1176.15762498212,121138.87156981^1175.95062498212,127322.072246744^1176.01962498212,133505.272923679^1175.95062498212,139688.542600614^1175.95062498212,145871.881277548^1174.57062498212,152054.943954483^1175.95062498212,158238.144631417^1175.95062498212,164421.345308352^1175.88162498212,170604.545985286^1175.81262498212,176787.746662221^1175.81262498212
176787.608662221^-9797.48300002052,170604.338985286^-9797.34500002052,164421.138308352^-9797.27600002052,158238.006631417^-9797.20700002052,152054.805954483^-9797.20700002052,145871.605277548^-9797.20700002052,139688.404600614^-9797.06900002052,133505.203923679^-9797.06900002052,127321.934246744^-9797.13800002052,121138.80256981^-9797.20700002052,114955.601892875^-9797.20700002052,108772.401215941^-9797.27600002052,102589.200539006^-9797.06900002052,96405.9998620715^-9797.06900002052,90222.730185137^-9797.06900002052,84039.5295082024^-9797.13800002052,77856.3978312678^-9797.27600002052,71673.3351543333^-9797.41400002052
71672.9211543333^-20770.3646250232,77856.0528312678^-20770.3646250232,84039.2535082024^-20770.2956250232,90222.454185137^-20770.2956250232,96405.7238620715^-20770.4336250232,102588.855539006^-20770.2956250232,108772.056215941^-20770.4336250232,114955.256892875^-20770.5026250232,121138.45756981^-20770.3646250232,127321.658246744^-20770.4336250232,133504.927923679^-20770.4336250232,139688.128600614^-20770.3646250232,145871.329277548^-20770.6406250232,152054.598954483^-20770.4336250232,158237.799631417^-20770.6406250232,164421.000308352^-20770.6406250232,170604.131985286^-20770.5716250232,176787.332662221^-20770.5716250232
176787.194662221^-31743.7292500258,170603.993985286^-31743.7292500258,164420.793308352^-31743.7292500258,158237.592631417^-31743.5912500258,152054.391954483^-31743.7292500258,145871.191277548^-31743.5912500258,139687.990600614^-31743.6602500258,133504.720923679^-31743.5912500258,127321.589246744^-31743.5912500258,121138.25056981^-31743.5222500258,114955.049892875^-31743.6602500258,108771.987215941^-31743.4532500258,102588.717539006^-31743.7292500258,96405.5858620715^-31743.5222500258,90222.316185137^-31743.5222500258,84039.1155082024^-31743.5222500258,77855.8458312678^-31743.5222500258,71672.6451543333^-31743.5222500258
71672.5071543333^-42716.9558750284,77855.6388312678^-42716.6798750284,84038.8395082024^-42716.6108750284,90222.040185137^-42716.7488750284,96405.1718620715^-42716.8868750284,102588.372539006^-42716.8178750284,108771.642215941^-42716.8178750284,114954.842892875^-42716.6798750284,121137.97456981^-42716.6798750284,127321.244246744^-42716.7488750284,133504.513923679^-42716.8178750284,139687.714600614^-42716.8178750284,145870.984277548^-42716.8178750284,152054.184954483^-42716.8178750284,158237.385631417^-42716.9558750284,164420.586308352^-42716.9558750284,170603.786985286^-42716.9558750284,176786.918662221^-42717.0248750284
176786.711662221^-53690.2515000311,170603.510985286^-53690.2515000311,164420.379308352^-53690.1825000311,158237.109631417^-53690.3205000311,152053.908954483^-53689.9755000311,145870.708277548^-53689.9755000311,139687.369600614^-53689.7685000311,133504.237923679^-53689.9065000311,127320.968246744^-53689.9065000311,121137.83656981^-53689.9065000311,114954.635892875^-53689.9065000311,108771.366215941^-53689.9065000311,102588.234539006^-53689.8375000311,96405.0338620715^-53690.0445000311,90221.764185137^-53690.0445000311,84038.6325082024^-53689.9755000311,77855.2938312678^-53690.1135000311,71672.0931543333^-53690.0445000311
71671.7481543333^-64663.2711250337,77854.9488312678^-64663.2711250337,84038.2185082024^-64663.2711250337,90221.419185137^-64663.3401250337,96404.6198620715^-64663.2711250337,102587.889539006^-64663.2711250337,108771.090215941^-64663.2711250337,114954.221892875^-64663.2711250337,121137.49156981^-64663.3401250337,127320.692246744^-64663.2711250337,133503.892923679^-64663.2711250337,139687.162600614^-64663.3401250337,145870.432277548^-64663.3401250337,152053.563954483^-64663.3401250337,158236.902631417^-64663.4781250337,164420.103308352^-64663.5471250337,170603.372985286^-64663.5471250337,176786.435662221^-64663.6161250337
176786.159662221^-75636.7737500363,170603.027985286^-75636.7737500363,164419.827308352^-75636.7737500363,158236.557631417^-75636.6357500363,152053.425954483^-75636.4977500363,145870.156277548^-75636.5667500363,139687.024600614^-75636.5667500363,133503.754923679^-75636.5667500363,127320.416246744^-75636.5667500363,121137.28456981^-75636.5667500363,114953.945892875^-75636.4287500363,108770.814215941^-75636.4977500363,102587.613539006^-75636.4977500363,96404.4128620715^-75636.5667500363,90221.143185137^-75636.6357500363,84037.8735082024^-75636.6357500363,77854.6728312678^-75636.6357500363,71671.4031543333^-75636.6357500363
71671.1961543333^-86609.931375039,77854.3278312678^-86609.931375039,84037.6665082024^-86609.862375039,90220.867185137^-86609.931375039,96404.0678620715^-86609.931375039,102587.268539006^-86609.862375039,108770.607215941^-86609.931375039,114953.738892875^-86609.862375039,121136.93956981^-86610.000375039,127320.278246744^-86609.931375039,133503.478923679^-86609.862375039,139686.679600614^-86610.069375039,145869.949277548^-86610.000375039,152053.149954483^-86610.069375039,158236.350631417^-86610.138375039,164419.551308352^-86610.069375039,170602.820985286^-86610.345375039,176786.021662221^-86610.414375039
176785.745662221^-97583.6410000416,170602.544985286^-97583.6410000416,164419.206308352^-97583.2270000416,158236.143631417^-97583.4340000416,152052.873954483^-97583.3650000416,145869.673277548^-97583.3650000416,139686.472600614^-97583.2960000416,133503.133923679^-97583.2960000416,127319.933246744^-97583.2270000416,121136.59456981^-97583.2960000416,114953.462892875^-97583.2270000416,108770.262215941^-97583.3650000416,102586.992539006^-97583.2960000416,96403.9298620715^-97583.2270000416,90220.522185137^-97583.2960000416,84037.3905082024^-97583.3650000416,77854.1208312678^-97583.3650000416,71670.9891543333^-97583.3650000416
71670.4371543333^-108556.591625044,77853.7068312678^-108556.729625044,84036.9765082024^-108556.660625044,90220.246185137^-108556.660625044,96403.5158620715^-108556.660625044,102586.716539006^-108556.591625044,108769.848215941^-108556.729625044,114953.186892875^-108556.591625044,121136.38756981^-108556.729625044,127319.657246744^-108556.867625044,133502.926923679^-108556.867625044,139686.196600614^-108556.729625044,145869.328277548^-108556.867625044,152052.597954483^-108556.867625044,158235.798631417^-108556.867625044,164419.137308352^-108557.212625044,170602.406985286^-108557.143625044,176785.538662221^-108557.143625044
