195348.551184905^66895.4039991597,189163.994801821^66895.4039991597,182979.438418736^66895.4039991597,176794.882035651^66895.4039991597,170610.325652566^66895.4039991597,164425.769269482^66895.4039991597,158241.212886397^66895.4039991597,152056.656503312^66895.4039991597,145872.100120227^66895.4039991597,139687.543737143^66895.4039991597,133502.987354058^66895.4039991597,127318.430970973^66895.4039991597,121133.874587888^66895.4039991597,114949.318204803^66895.4039991597,108764.761821719^66895.4039991597,102580.205438634^66895.4039991597,96395.6490555491^66895.4039991597,90211.0926724644^66895.4039991597
90211.0926724644^55921.7579990762,96395.6490555491^55921.7579990762,102580.205438634^55921.7579990762,108764.761821719^55921.7579990762,114949.318204803^55921.7579990762,121133.874587888^55921.7579990762,127318.430970973^55921.7579990762,133502.987354058^55921.7579990762,139687.543737143^55921.7579990762,145872.100120227^55921.7579990762,152056.656503312^55921.7579990762,158241.212886397^55921.7579990762,164425.769269482^55921.7579990762,170610.325652566^55921.7579990762,176794.882035651^55921.7579990762,182979.438418736^55921.7579990762,189163.994801821^55921.7579990762,195348.551184905^55921.7579990762
195348.551184905^44948.1119989928,189163.994801821^44948.1119989928,182979.438418736^44948.1119989928,176794.882035651^44948.1119989928,170610.325652566^44948.1119989928,164425.769269482^44948.1119989928,158241.212886397^44948.1119989928,152056.656503312^44948.1119989928,145872.100120227^44948.1119989928,139687.543737143^44948.1119989928,133502.987354058^44948.1119989928,127318.430970973^44948.1119989928,121133.874587888^44948.1119989928,114949.318204803^44948.1119989928,108764.761821719^44948.1119989928,102580.205438634^44948.1119989928,96395.6490555491^44948.1119989928,90211.0926724644^44948.1119989928
90211.0926724644^33974.4659989093,96395.6490555491^33974.4659989093,102580.205438634^33974.4659989093,108764.761821719^33974.4659989093,114949.318204803^33974.4659989093,121133.874587888^33974.4659989093,127318.430970973^33974.4659989093,133502.987354058^33974.4659989093,139687.543737143^33974.4659989093,145872.100120227^33974.4659989093,152056.656503312^33974.4659989093,158241.212886397^33974.4659989093,164425.769269482^33974.4659989093,170610.325652566^33974.4659989093,176794.882035651^33974.4659989093,182979.438418736^33974.4659989093,189163.994801821^33974.4659989093,195348.551184905^33974.4659989093
195348.551184905^23000.8199988259,189163.994801821^23000.8199988259,182979.438418736^23000.8199988259,176794.882035651^23000.8199988259,170610.325652566^23000.8199988259,164425.769269482^23000.8199988259,158241.212886397^23000.8199988259,152056.656503312^23000.8199988259,145872.100120227^23000.8199988259,139687.543737143^23000.8199988259,133502.987354058^23000.8199988259,127318.430970973^23000.8199988259,121133.874587888^23000.8199988259,114949.318204803^23000.8199988259,108764.761821719^23000.8199988259,102580.205438634^23000.8199988259,96395.6490555491^23000.8199988259,90211.0926724644^23000.8199988259
90211.0926724644^12027.1739987424,96395.6490555491^12027.1739987424,102580.205438634^12027.1739987424,108764.761821719^12027.1739987424,114949.318204803^12027.1739987424,121133.874587888^12027.1739987424,127318.430970973^12027.1739987424,133502.987354058^12027.1739987424,139687.543737143^12027.1739987424,145872.100120227^12027.1739987424,152056.656503312^12027.1739987424,158241.212886397^12027.1739987424,164425.769269482^12027.1739987424,170610.325652566^12027.1739987424,176794.882035651^12027.1739987424,182979.438418736^12027.1739987424,189163.994801821^12027.1739987424,195348.551184905^12027.1739987424
195348.551184905^1053.52799865897,189163.994801821^1053.52799865897,182979.438418736^1053.52799865897,176794.882035651^1053.52799865897,170610.325652566^1053.52799865897,164425.769269482^1053.52799865897,158241.212886397^1053.52799865897,152056.656503312^1053.52799865897,145872.100120227^1053.52799865897,139687.543737143^1053.52799865897,133502.987354058^1053.52799865897,127318.430970973^1053.52799865897,121133.874587888^1053.52799865897,114949.318204803^1053.52799865897,108764.761821719^1053.52799865897,102580.205438634^1053.52799865897,96395.6490555491^1053.52799865897,90211.0926724644^1053.52799865897
90211.0926724644^-9920.11800142448,96395.6490555491^-9920.11800142448,102580.205438634^-9920.11800142448,108764.761821719^-9920.11800142448,114949.318204803^-9920.11800142448,121133.874587888^-9920.11800142448,127318.430970973^-9920.11800142448,133502.987354058^-9920.11800142448,139687.543737143^-9920.11800142448,145872.100120227^-9920.11800142448,152056.656503312^-9920.11800142448,158241.212886397^-9920.11800142448,164425.769269482^-9920.11800142448,170610.325652566^-9920.11800142448,176794.882035651^-9920.11800142448,182979.438418736^-9920.11800142448,189163.994801821^-9920.11800142448,195348.551184905^-9920.11800142448
195348.551184905^-20893.7640015079,189163.994801821^-20893.7640015079,182979.438418736^-20893.7640015079,176794.882035651^-20893.7640015079,170610.325652566^-20893.7640015079,164425.769269482^-20893.7640015079,158241.212886397^-20893.7640015079,152056.656503312^-20893.7640015079,145872.100120227^-20893.7640015079,139687.543737143^-20893.7640015079,133502.987354058^-20893.7640015079,127318.430970973^-20893.7640015079,121133.874587888^-20893.7640015079,114949.318204803^-20893.7640015079,108764.761821719^-20893.7640015079,102580.205438634^-20893.7640015079,96395.6490555491^-20893.7640015079,90211.0926724644^-20893.7640015079
90211.0926724644^-31867.4100015914,96395.6490555491^-31867.4100015914,102580.205438634^-31867.4100015914,108764.761821719^-31867.4100015914,114949.318204803^-31867.4100015914,121133.874587888^-31867.4100015914,127318.430970973^-31867.4100015914,133502.987354058^-31867.4100015914,139687.543737143^-31867.4100015914,145872.100120227^-31867.4100015914,152056.656503312^-31867.4100015914,158241.212886397^-31867.4100015914,164425.769269482^-31867.4100015914,170610.325652566^-31867.4100015914,176794.882035651^-31867.4100015914,182979.438418736^-31867.4100015914,189163.994801821^-31867.4100015914,195348.551184905^-31867.4100015914
195348.551184905^-42841.0560016748,189163.994801821^-42841.0560016748,182979.438418736^-42841.0560016748,176794.882035651^-42841.0560016748,170610.325652566^-42841.0560016748,164425.769269482^-42841.0560016748,158241.212886397^-42841.0560016748,152056.656503312^-42841.0560016748,145872.100120227^-42841.0560016748,139687.543737143^-42841.0560016748,133502.987354058^-42841.0560016748,127318.430970973^-42841.0560016748,121133.874587888^-42841.0560016748,114949.318204803^-42841.0560016748,108764.761821719^-42841.0560016748,102580.205438634^-42841.0560016748,96395.6490555491^-42841.0560016748,90211.0926724644^-42841.0560016748
