-1486366|1025997,-1536367|1025998,-1586368|1025997,-1636368|1025997,-1686368|1025997,-1736368|1025997,-1786368|1025997,-1836368|1025997,-1886368|1025997,-1936369|1025997
-1486371|975992,-1536371|975992,-1586371|975992,-1636371|975992,-1686370|975992,-1736370|975993,-1786370|975993,-1836370|975993,-1886370|975994,-1936370|975994
-1486371|925991,-1536371|925991,-1586371|925991,-1636371|925990,-1686371|925989,-1736371|925989,-1786371|925989,-1836371|925989,-1886371|925988,-1936371|925988
-1486370|875982,-1536370|875982,-1586370|875982,-1636370|875982,-1686370|875982,-1736370|875982,-1786370|875982,-1836371|875982,-1886371|875982,-1936371|875982
-1486370|825979,-1536370|825979,-1586370|825979,-1636370|825979,-1686371|825979,-1736371|825979,-1786372|825978,-1836372|825978,-1886372|825978,-1936372|825978
-1486371|775977,-1536371|775977,-1586371|775977,-1636371|775977,-1686371|775977,-1736371|775976,-1786371|775976,-1836372|775976,-1886372|775976,-1936372|775976
-1486371|725974,-1536371|725974,-1586371|725974,-1636371|725974,-1686371|725974,-1736371|725974,-1786371|725974,-1836371|725974,-1886371|725974,-1936372|725974
-1486371|675970,-1536371|675970,-1586371|675970,-1636371|675970,-1686371|675970,-1736371|675970,-1786371|675970,-1836371|675970,-1886371|675971,-1936371|675971
-1486371|625964,-1536371|625964,-1586371|625964,-1636371|625964,-1686371|625964,-1736371|625964,-1786371|625964,-1836371|625963,-1886371|625963,-1936372|625962
-1486369|575955,-1536369|575955,-1586369|575955,-1636370|575955,-1686370|575955,-1736370|575955,-1786370|575955,-1836371|575956,-1886371|575957,-1936372|575957
