-902831|1826767,-952831|1826767,-1002831|1826767,-1052831|1826767,-1102831|1826767,-1152831|1826767,-1202831|1826766,-1252831|1826766,-1302832|1826766,-1352833|1826766,-1402833|1826766,-1452834|1826766,-1502834|1826766,-1552834|1826766,-1602834|1826766,-1652835|1826765,-1702836|1826765,-1752835|1826765,-1802836|1826764,-1852836|1826764,-1902836|1826764,-1952836|1826764,-2002836|1826764,-2052837|1826764,-2102838|1826764,-2152839|1826764,-2202839|1826764,-2252839|1826764,-2302839|1826764,-2352839|1826764,-2402839|1826764,-2452840|1826764
-902836|1776748,-952836|1776749,-1002836|1776749,-1052836|1776750,-1102836|1776750,-1152836|1776750,-1202836|1776750,-1252835|1776750,-1302835|1776750,-1352835|1776750,-1402835|1776750,-1452834|1776750,-1502835|1776750,-1552836|1776750,-1602837|1776750,-1652837|1776751,-1702837|1776752,-1752837|1776752,-1802838|1776752,-1852838|1776753,-1902839|1776753,-1952839|1776753,-2002839|1776754,-2052839|1776754,-2102839|1776754,-2152839|1776754,-2202839|1776754,-2252839|1776754,-2302838|1776755,-2352839|1776755,-2402839|1776755,-2452840|1776755
-902837|1726746,-952837|1726746,-1002837|1726746,-1052837|1726746,-1102837|1726745,-1152837|1726745,-1202837|1726745,-1252837|1726745,-1302837|1726745,-1352836|1726745,-1402836|1726745,-1452836|1726745,-1502836|1726745,-1552836|1726744,-1602836|1726744,-1652836|1726744,-1702836|1726744,-1752836|1726744,-1802835|1726744,-1852835|1726744,-1902835|1726744,-1952835|1726744,-2002835|1726745,-2052835|1726745,-2102835|1726745,-2152835|1726745,-2202835|1726745,-2252835|1726745,-2302835|1726745,-2352835|1726745,-2402835|1726745,-2452835|1726745
-902831|1676739,-952830|1676739,-1002830|1676739,-1052830|1676739,-1102829|1676739,-1152829|1676739,-1202829|1676739,-1252830|1676739,-1302830|1676739,-1352830|1676739,-1402830|1676739,-1452830|1676739,-1502830|1676739,-1552830|1676739,-1602831|1676739,-1652831|1676739,-1702831|1676739,-1752831|1676739,-1802831|1676740,-1852833|1676740,-1902833|1676740,-1952833|1676740,-2002833|1676740,-2052833|1676740,-2102833|1676741,-2152834|1676741,-2202834|1676741,-2252834|1676742,-2302834|1676742,-2352834|1676742,-2402834|1676742,-2452835|1676742
-902831|1626732,-952832|1626731,-1002832|1626730,-1052832|1626730,-1102833|1626730,-1152833|1626730,-1202833|1626730,-1252833|1626730,-1302833|1626730,-1352833|1626730,-1402833|1626730,-1452833|1626730,-1502834|1626730,-1552834|1626730,-1602834|1626730,-1652834|1626730,-1702834|1626730,-1752834|1626730,-1802834|1626730,-1852834|1626730,-1902835|1626730,-1952835|1626730,-2002835|1626730,-2052835|1626730,-2102835|1626730,-2152835|1626730,-2202835|1626730,-2252835|1626730,-2302835|1626730,-2352835|1626729,-2402835|1626729,-2452835|1626729
-902831|1576724,-952831|1576725,-1002831|1576725,-1052831|1576725,-1102831|1576725,-1152831|1576725,-1202831|1576725,-1252831|1576725,-1302831|1576726,-1352831|1576726,-1402831|1576726,-1452831|1576726,-1502831|1576726,-1552831|1576726,-1602831|1576726,-1652831|1576726,-1702831|1576726,-1752832|1576726,-1802832|1576726,-1852832|1576726,-1902832|1576726,-1952832|1576726,-2002832|1576726,-2052832|1576725,-2102833|1576725,-2152834|1576725,-2202834|1576725,-2252834|1576725,-2302834|1576725,-2352834|1576725,-2402834|1576725,-2452835|1576725
-902831|1526717,-952832|1526717,-1002832|1526717,-1052832|1526716,-1102832|1526715,-1152832|1526715,-1202833|1526714,-1252833|1526713,-1302833|1526713,-1352833|1526713,-1402833|1526713,-1452833|1526713,-1502833|1526713,-1552833|1526713,-1602834|1526713,-1652834|1526713,-1702834|1526712,-1752834|1526712,-1802834|1526712,-1852835|1526712,-1902835|1526712,-1952835|1526712,-2002835|1526712,-2052835|1526712,-2102836|1526712,-2152835|1526712,-2202836|1526713,-2252836|1526713,-2302836|1526713,-2352836|1526712,-2402837|1526712,-2452837|1526712
-902838|1476701,-952837|1476701,-1002837|1476701,-1052837|1476701,-1102837|1476702,-1152837|1476702,-1202837|1476702,-1252837|1476702,-1302837|1476702,-1352838|1476702,-1402838|1476702,-1452838|1476702,-1502838|1476702,-1552838|1476702,-1602838|1476702,-1652838|1476702,-1702838|1476702,-1752838|1476703,-1802838|1476703,-1852838|1476703,-1902838|1476704,-1952839|1476704,-2002839|1476704,-2052838|1476704,-2102838|1476704,-2152838|1476704,-2202838|1476704,-2252838|1476704,-2302837|1476704,-2352837|1476704,-2402837|1476704,-2452837|1476704
-902839|1426695,-952840|1426695,-1002840|1426696,-1052840|1426696,-1102840|1426697,-1152839|1426697,-1202839|1426697,-1252839|1426697,-1302840|1426697,-1352840|1426696,-1402840|1426696,-1452840|1426696,-1502840|1426696,-1552840|1426696,-1602840|1426696,-1652840|1426696,-1702840|1426696,-1752840|1426696,-1802840|1426696,-1852840|1426695,-1902840|1426695,-1952840|1426695,-2002841|1426695,-2052842|1426695,-2102843|1426695,-2152844|1426695,-2202845|1426695,-2252845|1426695,-2302846|1426695,-2352846|1426694,-2402846|1426695,-2452846|1426696
-902840|1376685,-952840|1376685,-1002840|1376685,-1052840|1376685,-1102840|1376685,-1152840|1376685,-1202841|1376685,-1252841|1376685,-1302841|1376685,-1352840|1376685,-1402841|1376685,-1452841|1376685,-1502841|1376686,-1552841|1376686,-1602841|1376687,-1652841|1376687,-1702842|1376687,-1752843|1376687,-1802843|1376687,-1852843|1376687,-1902843|1376687,-1952844|1376687,-2002844|1376688,-2052844|1376688,-2102844|1376688,-2152844|1376688,-2202845|1376688,-2252845|1376688,-2302846|1376688,-2352846|1376688,-2402846|1376689,-2452846|1376689
