-1486366|1025997,-1536366|1026089,-1586345|1026176,-1636324|1026283,-1686324|1026371,-1736302|1026459,-1786280|1026547,-1836236|1026635,-1886214|1026724,-1936170|1026811
-1486458|976033,-1536437|976124,-1586415|976212,-1636414|976300,-1686392|976389,-1736370|976500,-1786348|976565,-1836304|976678,-1886282|976742,-1936259|976833
-1486525|926056,-1536525|926167,-1586503|926256,-1636481|926321,-1686459|926430,-1736437|926499,-1786415|926583,-1836393|926674,-1886349|926759,-1936327|926846
-1486612|876092,-1536590|876160,-1586568|876268,-1636569|876356,-1686547|876444,-1736524|876532,-1786502|876642,-1836481|876708,-1886437|876796,-1936415|876870
-1486679|826091,-1536678|826199,-1586656|826287,-1636634|826379,-1686612|826464,-1736591|826552,-1786569|826639,-1836548|826729,-1886525|826814,-1936482|826902
-1486767|776154,-1536767|776265,-1586745|776329,-1636723|776418,-1686701|776504,-1736679|776592,-1786658|776680,-1836636|776768,-1886614|776903,-1936570|776946
-1486855|726155,-1536833|726260,-1586811|726348,-1636811|726505,-1686789|726546,-1736767|726634,-1786745|726723,-1836701|726810,-1886679|726898,-1936635|726966
-1486921|676212,-1536899|676300,-1586877|676388,-1636877|676498,-1686855|676566,-1736833|676674,-1786811|676762,-1836789|676852,-1886745|676920,-1936724|677011
-1486987|626236,-1536987|626338,-1586965|626429,-1636943|626536,-1686943|626624,-1736921|626713,-1786899|626801,-1836855|626888,-1886833|626976,-1936789|627063
-1487073|576285,-1537073|576373,-1587052|576483,-1637030|576571,-1687008|576659,-1737008|576795,-1786965|576836,-1836943|576925,-1886922|577035,-1936878|577087
