-915136|1827183,-965092|1827291,-1015070|1827314,-1065047|1827339,-1115026|1827402,-1164982|1827446,-1214959|1827490,-1264915|1827534,-1314893|1827577,-1364847|1827621,-1414826|1827688,-1464804|1827709,-1514782|1827775,-1564739|1827866,-1614738|1827883,-1664718|1827908,-1714696|1827972,-1764674|1828015,-1814652|1828081,-1864608|1828101,-1914587|1828166,-1964543|1828189,-2014523|1828233,-2064479|1828277,-2114457|1828300,-2164437|1828346,-2214414|1828390,-2264369|1828478,-2314371|1828475,-2364327|1828497,-2414306|1828541,-2464239|1828563
-915165|1777211,-965145|1777305,-1015122|1777284,-1065100|1777393,-1115056|1777438,-1165034|1777505,-1214991|1777527,-1264969|1777571,-1314925|1777615,-1364903|1777706,-1414860|1777703,-1464837|1777747,-1514814|1777794,-1564791|1777857,-1614791|1777901,-1664768|1777947,-1714747|1778011,-1764703|1778056,-1814680|1778099,-1864660|1778143,-1914615|1778187,-1964593|1778231,-2014550|1778275,-2064527|1778319,-2114482|1778343,-2164459|1778385,-2214439|1778429,-2264417|1778495,-2314394|1778495,-2364374|1778540,-2414350|1778584,-2464283|1778607
-915208|1727261,-965185|1727349,-1015162|1727395,-1065120|1727436,-1115098|1727435,-1165076|1727505,-1215031|1727588,-1264988|1727634,-1314965|1727655,-1364942|1727680,-1414900|1727723,-1464878|1727787,-1514856|1727831,-1564834|1727875,-1614811|1727922,-1664811|1727985,-1714766|1728077,-1764746|1728093,-1814725|1728159,-1864702|1728160,-1914657|1728204,-1964613|1728271,-2014592|1728335,-2064571|1728336,-2114528|1728380,-2164505|1728424,-2214485|1728468,-2264463|1728490,-2314442|1728533,-2364419|1728577,-2414397|1728620,-2464332|1728642
-915250|1677311,-965206|1677334,-1015185|1677378,-1065163|1677445,-1115119|1677489,-1165097|1677533,-1215076|1677600,-1265033|1677621,-1314990|1677687,-1364969|1677709,-1414925|1677753,-1464904|1677800,-1514881|1677864,-1564858|1677908,-1614859|1677952,-1664836|1677974,-1714815|1678085,-1764792|1678106,-1814751|1678150,-1864727|1678194,-1914705|1678238,-1964661|1678282,-2014617|1678327,-2064596|1678370,-2114554|1678461,-2164532|1678440,-2214531|1678480,-2264510|1678525,-2314486|1678548,-2364442|1678590,-2414420|1678635,-2464353|1678663
-915272|1627333,-965250|1627399,-1015228|1627420,-1065205|1627484,-1115161|1627506,-1165138|1627550,-1215096|1627612,-1265074|1627660,-1315031|1627685,-1365007|1627771,-1414961|1627774,-1464939|1627836,-1514918|1627879,-1564897|1627922,-1614897|1627987,-1664875|1628031,-1714854|1628097,-1764830|1628119,-1814788|1628206,-1864764|1628209,-1914721|1628250,-1964697|1628297,-2014656|1628338,-2064633|1628382,-2114614|1628426,-2164590|1628471,-2214567|1628514,-2264545|1628538,-2314523|1628579,-2364480|1628624,-2414459|1628667,-2464392|1628689
-915318|1577318,-965274|1577405,-1015253|1577427,-1065231|1577494,-1115209|1577561,-1165165|1577582,-1215143|1577650,-1265099|1577672,-1315055|1577716,-1365033|1577807,-1415011|1577804,-1464968|1577847,-1514946|1577893,-1564925|1577939,-1614925|1578002,-1664902|1578047,-1714879|1578091,-1764859|1578157,-1814836|1578201,-1864793|1578245,-1914769|1578289,-1964724|1578333,-2014702|1578377,-2064659|1578421,-2114638|1578446,-2164614|1578487,-2214593|1578531,-2264571|1578556,-2314549|1578598,-2364527|1578642,-2414503|1578686,-2464437|1578712
-915340|1527385,-965318|1527403,-1015298|1527447,-1065254|1527513,-1115232|1527557,-1165210|1527601,-1215167|1527645,-1265143|1527712,-1315101|1527733,-1365077|1527777,-1415033|1527821,-1465010|1527884,-1514969|1528000,-1564968|1527974,-1614946|1528039,-1664946|1528084,-1714903|1528149,-1764881|1528172,-1814860|1528216,-1864836|1528261,-1914792|1528304,-1964772|1528348,-2014727|1528391,-2064706|1528435,-2114663|1528479,-2164638|1528524,-2214616|1528615,-2264596|1528589,-2314594|1528633,-2364550|1528658,-2414529|1528721,-2464462|1528724
-915381|1477376,-965338|1477420,-1015313|1477464,-1065293|1477530,-1115270|1477621,-1165248|1477619,-1215205|1477685,-1265160|1477729,-1315138|1477753,-1365095|1477795,-1415072|1477861,-1465050|1477905,-1515029|1477949,-1565007|1477993,-1614987|1478059,-1664963|1478103,-1714941|1478147,-1764920|1478194,-1814899|1478257,-1864855|1478283,-1914833|1478345,-1964790|1478370,-2014767|1478434,-2064724|1478455,-2114702|1478501,-2164681|1478543,-2214659|1478588,-2264637|1478632,-2314615|1478654,-2364571|1478719,-2414572|1478742,-2464505|1478765
-915403|1427378,-965383|1427434,-1015359|1427500,-1065337|1427544,-1115315|1427610,-1165271|1427676,-1215227|1427720,-1265205|1427742,-1315161|1427786,-1365138|1427830,-1415094|1427874,-1465074|1427918,-1515051|1427965,-1565029|1428051,-1615029|1428072,-1665006|1428139,-1714985|1428182,-1764942|1428248,-1814919|1428270,-1864897|1428314,-1914853|1428358,-1964830|1428402,-2014787|1428446,-2064764|1428490,-2114743|1428533,-2164721|1428599,-2214699|1428601,-2264677|1428645,-2314654|1428687,-2364632|1428731,-2414587|1428754,-2464525|1428777
-915444|1377447,-965422|1377447,-1015400|1377534,-1065355|1377579,-1115335|1377623,-1165291|1377689,-1215268|1377756,-1265223|1377777,-1315201|1377821,-1365158|1377866,-1415137|1377910,-1465115|1377954,-1515094|1378003,-1565072|1378065,-1615049|1378110,-1665027|1378155,-1715005|1378219,-1764983|1378263,-1814963|1378307,-1864917|1378351,-1914895|1378396,-1964852|1378439,-2014829|1378483,-2064786|1378527,-2114764|1378572,-2164743|1378597,-2214720|1378642,-2264700|1378732,-2314678|1378708,-2364655|1378753,-2414634|1378794,-2464568|1378819
-915466|1327447,-965442|1327512,-1015420|1327579,-1065398|1327623,-1115376|1327666,-1165331|1327732,-1215287|1327756,-1265266|1327799,-1315244|1327863,-1365200|1327888,-1415179|1327951,-1465134|1327994,-1515113|1328038,-1565093|1328104,-1615093|1328149,-1665072|1328237,-1715050|1328238,-1765027|1328300,-1814983|1328344,-1864960|1328388,-1914938|1328432,-1964895|1328477,-2014850|1328520,-2064830|1328564,-2114808|1328608,-2164765|1328672,-2214764|1328695,-2264719|1328717,-2314696|1328807,-2364698|1328805,-2414653|1328829,-2464610|1328870
-915506|1277499,-965486|1277541,-1015466|1277585,-1065443|1277651,-1115398|1277695,-1165356|1277739,-1215333|1277786,-1265289|1277829,-1315265|1277894,-1365223|1277918,-1415201|1277981,-1465178|1278025,-1515157|1278090,-1565136|1278115,-1615116|1278179,-1665095|1278223,-1715073|1278270,-1765051|1278333,-1815027|1278377,-1864985|1278422,-1914963|1278465,-1964918|1278509,-2014897|1278553,-2064851|1278597,-2114829|1278641,-2164807|1278686,-2214786|1278710,-2264765|1278751,-2314743|1278796,-2364721|1278861,-2414699|1278863,-2464632|1278895
