ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB,FBprime,Fbprime/NB,NSCprime
4065,-1431,9782,11479,12138,12006,2923,0.81,0.96,9380.8,0.781342662,286.57338
4065,-1391,9669,11833,11851,12383,2919,0.82,0.96,9847.9,0.795275781,247.2421869
4065,-1375,9902,11760,12183,12298,2916,0.81,0.96,9749.4,0.792763051,172.369491
4065,-1429,9889,11791,12186,12333,2917,0.81,0.96,9790.9,0.793878213,161.2178708
4065,-1413,9920,11750,12167,12289,2918,0.82,0.96,9736.7,0.792310196,276.8980389
4065,-1391,9919,11623,12160,12155,2921,0.82,0.96,9569.5,0.787289181,327.1081859
4065,-1380,9974,11759,12217,12307,2924,0.82,0.96,9751.1,0.792321443,276.7855692
4065,-1401,9842,11805,12166,12345,2924,0.81,0.96,9808.5,0.794532199,154.6780073
4065,-1397,9887,11791,12185,12334,2925,0.81,0.96,9791.2,0.793838171,161.6182909
4065,-1396,9952,11777,12199,12323,2927,0.82,0.96,9773.9,0.793142904,268.5709649
4066,-1401,9859,11815,12169,12357,2932,0.81,0.96,9822.1,0.794861212,151.3878773
4065,-1397,9823,11817,12141,12362,2935,0.81,0.96,9825.6,0.794822844,151.771558
4065,-1418,9753,11488,12102,12009,2937,0.81,0.96,9390.7,0.781971854,280.2814556
4065,-1400,9910,11781,12190,12324,2937,0.81,0.96,9778.2,0.793427459,165.7254138
4065,-1412,9874,11754,12163,12290,2940,0.81,0.96,9741,0.792595606,174.0439382
4065,-1424,9980,11601,12229,12130,2943,0.82,0.96,9540,0.786479802,335.2019786
4065,-1414,9787,11559,12139,12074,2946,0.81,0.96,9481.2,0.785257578,247.4242173
4065,-1381,9932,11785,12210,12326,2946,0.81,0.96,9782.8,0.793671913,163.2808697
4065,-1399,9885,11826,12169,12363,2946,0.81,0.96,9834.9,0.795510798,144.8920165
4065,-1392,9861,11862,12180,12401,2938,0.81,0.96,9882.3,0.796895412,131.0458834
4065,-1394,9904,11812,12206,12358,2930,0.81,0.96,9819.4,0.794578411,154.2158925
4065,-1401,9580,11765,11838,12303,2922,0.81,0.96,9755.9,0.792969195,170.3080549
4065,-1399,9544,11622,11848,12148,2922,0.81,0.96,9566.4,0.787487652,225.1234771
4065,-1407,9947,11593,12191,12116,2922,0.82,0.96,9527.8,0.786381644,336.1835589
4065,-1424,9539,11743,11834,12284,2923,0.81,0.96,9728.2,0.791940736,180.5926408
4065,-1388,9790,11733,12010,12271,2923,0.82,0.96,9714.3,0.791646973,283.5302746
4065,-1392,9968,11768,12221,12310,2924,0.82,0.96,9761,0.792932575,270.6742486
4065,-1392,9953,11667,12200,12201,2924,0.82,0.96,9627.3,0.789058274,309.4172609
