ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB
4065,-1099,10780,12193,13356,13264,2947,0.81,0.92
4065,-1067,10789,11905,13329,12942,2936,0.81,0.92
4065,-1089,10799,12252,13366,13325,2925,0.81,0.92
4065,-1102,10736,12314,13352,13397,2923,0.8,0.92
4065,-1074,10844,12242,13401,13319,2923,0.81,0.92
4065,-1129,10745,12300,13376,13386,2922,0.8,0.92
4065,-1101,10669,12354,13314,13432,2922,0.8,0.92
4065,-1114,10821,12080,13363,13133,2921,0.81,0.92
4065,-1086,10755,12108,13298,13159,2921,0.81,0.92
4065,-1090,10715,12201,13307,13267,2921,0.81,0.92
4065,-1087,10840,12395,13410,13482,2918,0.81,0.92
4065,-1060,10752,12054,13288,13104,2915,0.81,0.92
4065,-1077,10813,12160,13356,13225,2912,0.81,0.92
4065,-1103,10708,11987,13372,13031,2913,0.8,0.92
4065,-1099,10732,12278,13352,13352,2913,0.8,0.92
4065,-1089,10809,12257,13376,13336,2914,0.81,0.92
4065,-1094,10754,12221,13340,13294,2916,0.81,0.92
4065,-1076,10831,12224,13384,13304,2917,0.81,0.92
4065,-1098,10725,12258,13344,13337,2917,0.8,0.92
4065,-1105,10755,12237,13351,13316,2920,0.81,0.92
4065,-1099,10825,12236,13414,13311,2929,0.81,0.92
4065,-1083,10807,11998,13353,13045,2937,0.81,0.92
4065,-1104,10798,12204,13340,13270,2942,0.81,0.92
4065,-1103,10778,12231,13351,13303,2942,0.81,0.92
4065,-1086,10808,12293,13406,13370,2940,0.81,0.92
4065,-1093,10780,12235,13362,13313,2935,0.81,0.92
4065,-1094,10776,12268,13356,13352,2931,0.81,0.92
4065,-1078,10839,12208,13414,13289,2929,0.81,0.92
4065,-1081,10727,12279,13309,13356,2929,0.81,0.92
4065,-1082,10580,11510,13163,12516,2928,0.8,0.92
4065,-1088,10853,12041,13409,13091,2928,0.81,0.92
4065,-1091,10782,12206,13353,13278,2927,0.81,0.92
4065,-1093,10731,12302,13361,13385,2927,0.8,0.92
4065,-1092,10785,12227,13369,13305,2927,0.81,0.92
4065,-1101,10796,12204,13358,13269,2931,0.81,0.92
4065,-1085,10822,12226,13408,13310,2936,0.81,0.92
4065,-1096,10774,12264,13353,13340,2940,0.81,0.92
4065,-1092,10756,12313,13364,13396,2941,0.8,0.92
4065,-1074,10841,12120,13391,13182,2941,0.81,0.92
4065,-1085,10369,12229,12841,13301,2937,0.81,0.92
4065,-1087,10782,12199,13329,13262,2933,0.81,0.92
4065,-1093,10819,12230,13405,13306,2928,0.81,0.92
4065,-1085,10788,12378,13332,13461,2928,0.81,0.92
4065,-1081,10830,12151,13380,13217,2928,0.81,0.92
4065,-1078,10824,12185,13377,13258,2929,0.81,0.92
4065,-1092,10738,12260,13342,13329,2929,0.8,0.92
4065,-1086,10683,12246,13247,13324,2929,0.81,0.92
4065,-1081,10664,12166,13172,13224,2929,0.81,0.92
4065,-1081,10766,12268,13329,13351,2927,0.81,0.92
4065,-1079,10768,12198,13330,13269,2922,0.81,0.92
4065,-1107,10691,12007,13349,13050,2916,0.8,0.92
4065,-1077,10796,12193,13351,13260,2911,0.81,0.92
4065,-1091,10796,12210,13361,13284,2911,0.81,0.92
4065,-1079,10846,12207,13380,13278,2911,0.81,0.92
4065,-1084,10798,12271,13375,13355,2914,0.81,0.92
4065,-1096,10747,12001,13272,13044,2917,0.81,0.92
4066,-1097,10795,12220,13381,13284,2919,0.81,0.92
4065,-1087,10840,12193,13411,13264,2919,0.81,0.92
4065,-1088,10807,12241,13351,13309,2921,0.81,0.92
4065,-1080,10767,12252,13353,13336,2925,0.81,0.92
4065,-1087,10822,12001,13377,13042,2930,0.81,0.92
4065,-1104,10758,12282,13356,13369,2933,0.81,0.92
4065,-1078,10763,12240,13345,13317,2933,0.81,0.92
4065,-1107,10707,12276,13323,13353,2928,0.8,0.92
4065,-1084,10824,12183,13358,13249,2919,0.81,0.92
4065,-1083,10760,12241,13346,13315,2911,0.81,0.92
4065,-1086,10855,12246,13404,13321,2907,0.81,0.92
4064,-1094,10805,12126,13348,13184,2907,0.81,0.92
4065,-1090,10802,12262,13356,13338,2905,0.81,0.92
4065,-1106,10788,12139,13343,13201,2902,0.81,0.92
4066,-1090,10821,12261,13392,13340,2900,0.81,0.92
