ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB,FBprime,Fbprime/NB,NSCprime
4065,-1039,10475,12043,13005,13143,2955,0.81,0.92,10285.9,0.782614319,273.8568059
4065,-1023,10591,12303,13098,13436,2954,0.81,0.92,10633.8,0.791440905,185.5909497
4065,-1018,10813,12174,13303,13282,2954,0.81,0.92,10458.6,0.787426592,225.7340762
4065,-1044,10725,12030,13339,13128,2954,0.8,0.92,10268.4,0.782175503,178.2449726
4065,-1034,10848,12174,13345,13290,2954,0.81,0.92,10461,0.787133183,228.6681716
4065,-1041,10842,12154,13375,13262,2954,0.81,0.92,10432.6,0.786653597,233.4640326
4065,-1017,10818,12299,13348,13433,2954,0.81,0.92,10628.9,0.791252885,187.4711531
4065,-1028,10731,12343,13321,13483,2954,0.81,0.92,10687.9,0.792694504,173.0549581
4065,-1041,10800,12321,13369,13467,2954,0.81,0.91,10661.1,0.791646246,183.5375362
4065,-1025,10868,12099,13383,13206,2950,0.81,0.92,10360.8,0.784552476,254.4752385
4065,-1004,10831,12135,13333,13242,2946,0.81,0.92,10407.6,0.785953783,240.4621658
4065,-1018,10806,12137,13305,13251,2942,0.81,0.92,10412.3,0.785774659,242.2534148
4065,-1038,10857,12171,13361,13288,2941,0.81,0.92,10457.4,0.786980734,230.192655
4065,-1026,10799,12313,13325,13448,2941,0.81,0.92,10647.4,0.791745985,182.5401547
4065,-1021,10783,12257,13305,13389,2939,0.81,0.92,10573.7,0.789730376,202.6962432
4065,-1029,10736,12297,13292,13442,2937,0.81,0.91,10629.6,0.790775182,192.2481774
4065,-1043,10785,12287,13331,13417,2934,0.81,0.92,10612.1,0.790944324,190.5567564
4065,-1017,10812,12279,13361,13414,2934,0.81,0.92,10603.2,0.790457731,195.4226927
4065,-1014,10771,12334,13309,13468,2936,0.81,0.92,10674.4,0.792574993,174.2500743
4065,-1028,10693,12340,13274,13480,2944,0.81,0.92,10684,0.792581602,174.1839763
4065,-1038,10803,12216,13341,13335,2952,0.81,0.92,10516.5,0.78863892,213.6107987
4065,-1023,10811,12174,13327,13287,2958,0.81,0.92,10460.1,0.78724317,227.5682998
4065,-1027,10881,12154,13395,13263,2958,0.81,0.92,10432.9,0.786616904,233.8309583
4064,-1016,10835,12240,13368,13365,2953,0.81,0.92,10549.5,0.789337823,206.6217733
4065,-1021,10849,12228,13386,13349,2942,0.81,0.92,10532.7,0.789025395,209.7460484
4065,-1043,10827,12316,13395,13442,2931,0.81,0.92,10648.6,0.792188662,178.113376
4065,-1005,10853,12295,13396,13429,2924,0.81,0.92,10623.7,0.791101348,188.9865217
4065,-1021,10650,12331,13177,13472,2924,0.81,0.92,10672.6,0.792206057,177.9394299
4065,-1036,10721,12097,13316,13206,2926,0.81,0.92,10358.8,0.78440103,255.9897017
4065,-1030,10605,12341,13070,13481,2930,0.81,0.92,10685.3,0.792619242,173.807581
4065,-1015,10621,12252,13204,13380,2934,0.8,0.92,10566,0.789686099,103.1390135
4065,-1054,10730,11913,13354,13004,2936,0.8,0.92,10114.2,0.777776069,222.239311
4065,-1040,10847,12240,13368,13367,2936,0.81,0.92,10550.1,0.789264607,207.3539313
4065,-1014,10776,12286,13315,13416,2937,0.81,0.92,10610.8,0.79090638,190.9361956
4065,-1025,10892,12116,13406,13223,2939,0.81,0.92,10382.9,0.785215155,247.8484459
4066,-1012,10838,12099,13345,13197,2941,0.81,0.92,10358.1,0.784882928,251.1707206
4065,-1038,10868,12152,13372,13265,2942,0.81,0.92,10431.5,0.786392763,236.0723709
4065,-1045,10832,12256,13382,13389,2941,0.81,0.92,10572.7,0.789655688,203.443125
4065,-1015,10841,12290,13392,13429,2943,0.81,0.92,10618.7,0.790729019,192.7098071
4065,-1043,10819,12272,13371,13401,2945,0.81,0.92,10592.3,0.790411163,195.8883665
4065,-1026,10854,12103,13363,13207,2947,0.81,0.92,10365.1,0.784818657,251.8134323
4065,-1050,10762,12259,13345,13397,2947,0.81,0.92,10578.1,0.789587221,204.1277898
4065,-1036,10812,12307,13366,13437,2947,0.81,0.92,10638.1,0.791702017,182.9798318
4065,-1049,10770,12252,13307,13381,2948,0.81,0.92,10566.3,0.789649503,203.5049697
4065,-1026,10859,12269,13366,13399,2949,0.81,0.92,10588.7,0.790260467,197.395328
4065,-1026,10709,12374,13301,13516,2950,0.81,0.92,10728.8,0.793785144,162.1485647
4065,-1041,10743,12273,13319,13412,2949,0.81,0.92,10596.6,0.790083507,199.1649269
4065,-1060,10725,12305,13284,13442,2949,0.81,0.92,10637.6,0.791370332,186.296682
4065,-1030,10877,12129,13387,13242,2947,0.81,0.92,10401.6,0.78550068,244.9932034
4065,-1042,10777,12223,13311,13349,2944,0.81,0.92,10527.7,0.788650835,213.4916473
4065,-1033,10725,12312,13331,13448,2941,0.8,0.92,10646.4,0.791671624,83.28375967
4065,-1035,10781,12310,13319,13442,2941,0.81,0.92,10642.6,0.7917423,182.5769975
4065,-1016,10868,12225,13392,13348,2941,0.81,0.92,10529.4,0.788837279,211.6272101
4065,-1028,10783,12339,13316,13476,2942,0.81,0.92,10681.8,0.792653606,173.4639359
