ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB,FAprime,FAprime/NA,FBprime,FBprime/NA,NACprime
5905,-2415,8525,11214,15085,15119,-1000,0.57,0.74,8518.78491,0.56471892,11182.5,0.739632251,-0.174913331
5905,-2414,8528,11224,15088,15130,-1000,0.57,0.74,8521.7889,0.564805733,11192.8465,0.739778354,-0.174972621
5905,-2422,8525,11219,15093,15135,-850,0.56,0.74,8518.79555,0.564420297,11188.004,0.739214007,-0.17479371
5905,-2425,8525,11236,15084,15148,-600,0.57,0.74,8518.78358,0.56475627,11205.4135,0.739728908,-0.174972638
5905,-2427,8525,11221,15100,15134,-351,0.56,0.74,8518.80486,0.564159262,11189.9725,0.739392923,-0.175233661
5906,-2428,8520,11230,15084,15138,-101,0.56,0.74,8513.78358,0.564424793,11199.0985,0.739800403,-0.17537561
5906,-2431,8513,11222,15089,15119,0,0.56,0.74,8506.79023,0.563774288,11190.5,0.740161386,-0.176387098
5906,-2431,8535,11225,15117,15121,0,0.56,0.74,8528.82747,0.564187833,11193.563,0.740266054,-0.176078221
5905,-2439,8516,11235,15090,15137,0,0.56,0.74,8509.79156,0.563935822,11204.067,0.740177512,-0.17624169
5905,-2443,8514,11231,15088,15126,0,0.56,0.74,8507.7889,0.563877843,11199.7205,0.740428434,-0.176550591
5905,-2444,8511,11234,15091,15131,0,0.56,0.74,8504.79289,0.563567218,11202.878,0.740392439,-0.176825221
5905,-2443,8514,11234,15087,15125,0,0.56,0.74,8507.78757,0.56391513,11202.689,0.740673653,-0.176758523
5905,-2447,8505,11229,15077,15122,-73,0.56,0.74,8498.77427,0.563691336,11197.5945,0.740483699,-0.176792363
5905,-2443,8513,11232,15077,15127,-192,0.56,0.74,8506.77427,0.564221945,11200.752,0.740447676,-0.176225731
5905,-2446,8512,11237,15085,15133,-311,0.56,0.74,8505.78491,0.563857137,11205.941,0.740496993,-0.176639856
5905,-2445,8513,11235,15089,15133,-430,0.56,0.74,8506.79023,0.563774288,11203.941,0.740364832,-0.176590544
5905,-2443,8513,11233,15083,15129,-477,0.56,0.74,8506.78225,0.563998028,11201.815,0.740420054,-0.176422027
5905,-2440,8521,11213,15103,15108,-477,0.56,0.74,8514.80885,0.563782616,11181.1535,0.740081645,-0.176299029
5905,-2437,8515,11232,15086,15133,-477,0.56,0.74,8508.78624,0.564018709,11200.941,0.74016659,-0.176147881
5905,-2440,8514,11229,15085,15133,-476,0.56,0.74,8507.78491,0.563989719,11197.941,0.739968347,-0.175978628
5905,-2437,8514,11229,15085,15135,-476,0.56,0.74,8507.78491,0.563989719,11198.004,0.739874727,-0.175885009
5905,-2432,8511,11226,15080,15126,-476,0.56,0.74,8504.77826,0.563977338,11194.7205,0.740097878,-0.17612054
5906,-2434,8517,11225,15093,15133,-611,0.56,0.74,8510.79555,0.56389025,11193.941,0.739704024,-0.175813774
5905,-2430,8516,11222,15080,15127,-946,0.56,0.74,8509.77826,0.564308903,11190.752,0.739786607,-0.175477704
5905,-2434,8513,11222,15082,15128,-1282,0.56,0.74,8506.78092,0.564035335,11190.7835,0.739739787,-0.175704452
5905,-2431,8517,11227,15093,15132,-1618,0.56,0.74,8510.79555,0.56389025,11195.9095,0.739882996,-0.175992746
5905,-2428,8517,11218,15086,15124,-1819,0.56,0.74,8510.78624,0.564151282,11186.6575,0.739662622,-0.17551134
