ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB,Fbprime,Fbprime/NB,NSCprime
6666,-2645,8511,11531,10126,10473,9719,0.84,1.1,6688.2755,0.638620787,2013.792132
6666,-2623,8495,11908,10134,10812,9720,0.84,1.1,7080.022,0.654830004,1851.699963
6666,-2633,8630,11905,10257,10797,9719,0.84,1.1,7076.3695,0.655401454,1845.985459
6666,-2647,8633,11784,10244,10691,9717,0.84,1.1,6950.7585,0.650150454,1898.495463
6666,-2644,8621,11804,10260,10702,9715,0.84,1.1,6971.237,0.65139572,1886.042796
6666,-2643,8584,11804,10189,10701,9715,0.84,1.1,6971.1935,0.651452528,1885.474722
6666,-2640,8599,11934,10254,10825,9714,0.84,1.1,7106.5875,0.656497691,1835.023095
6666,-2643,8556,11963,10229,10847,9717,0.84,1.1,7136.5445,0.657927952,1820.720476
6666,-2656,8626,11867,10276,10764,9719,0.84,1.1,7036.934,0.65374712,1862.5288
6666,-2639,8584,11940,10240,10835,9722,0.84,1.1,7113.0225,0.656485695,1835.143055
6666,-2658,8652,11859,10287,10758,9722,0.84,1.1,7028.673,0.653343837,1866.561629
6666,-2645,8680,11883,10329,10780,9722,0.84,1.1,7053.63,0.654325603,1856.74397
6666,-2667,8604,11929,10290,10812,9722,0.84,1.1,7101.022,0.65677229,1832.2771
6666,-2652,8660,11858,10289,10755,9721,0.84,1.1,7027.5425,0.653420967,1865.79033
6666,-2665,8635,11764,10260,10662,9721,0.84,1.1,6929.497,0.649924686,1900.753142
6666,-2654,8670,11777,10297,10676,9721,0.84,1.1,6943.106,0.650347134,1896.528662
6666,-2672,8539,11664,10254,10575,9720,0.83,1.1,6825.7125,0.645457447,1845.425532
6666,-2642,8586,11974,10271,10866,9718,0.84,1.1,7148.371,0.657865912,1821.34088
6666,-2646,8646,11887,10299,10788,9716,0.84,1.1,7057.978,0.654243419,1857.565814
6666,-2639,8641,11896,10281,10798,9715,0.84,1.1,7067.413,0.654511298,1854.887016
6666,-2647,8640,11920,10274,10814,9715,0.84,1.1,7092.109,0.655826614,1841.733864
6666,-2652,8615,11866,10261,10766,9715,0.84,1.1,7036.021,0.653540869,1864.591306
6666,-2643,8607,11941,10260,10834,9715,0.84,1.1,7113.979,0.656634576,1833.654237
6666,-2642,8748,11750,10385,10655,9715,0.84,1.1,6915.1925,0.649009151,1909.908494
6666,-2646,8639,11760,10269,10658,9715,0.84,1.1,6925.323,0.649776975,1902.23025
6666,-2646,8440,11881,10020,10771,9715,0.84,1.1,7051.2385,0.654650311,1853.49689
6666,-2647,8210,11888,9863,10787,9716,0.83,1.1,7058.9345,0.654392741,1756.072587
6666,-2645,8582,11992,10276,10880,9717,0.84,1.1,7166.98,0.658729779,1812.702206
6666,-2665,8570,11915,10269,10812,9719,0.83,1.1,7087.022,0.655477432,1745.225675
6666,-2626,8686,11844,10312,10753,9719,0.84,1.1,7013.4555,0.652232447,1877.675532
6666,-2651,8589,11600,10293,10522,9719,0.83,1.1,6759.407,0.642407052,1875.929481
6666,-2637,8595,11919,10239,10816,9715,0.84,1.1,7091.196,0.655620932,1843.79068
6666,-2651,8641,11872,10266,10776,9709,0.84,1.1,7042.456,0.653531552,1864.684484
6666,-2624,8656,11752,10264,10663,9703,0.84,1.1,6917.5405,0.648742427,1912.575729
6666,-2648,8557,11940,10232,10844,9700,0.84,1.1,7113.414,0.655976946,1840.230542
6666,-2658,8618,11887,10249,10791,9700,0.84,1.1,7058.1085,0.654073626,1859.263738
6666,-2639,8671,11808,10282,10723,9707,0.84,1.1,6976.1505,0.650578243,1894.21757
6666,-2629,8601,11980,10261,10873,9716,0.84,1.1,7154.6755,0.658022211,1819.77789
6666,-2637,8666,11859,10285,10771,9725,0.84,1.1,7029.2385,0.652607789,1873.922106
6666,-2620,8505,11970,10139,10872,9727,0.84,1.1,7144.632,0.65715894,1828.410596
6666,-2655,8534,11654,10228,10573,9727,0.83,1.1,6815.6255,0.644625508,1853.744916
6666,-2650,8632,11864,10266,10775,9725,0.84,1.1,7034.4125,0.652845708,1871.542923
6666,-2619,8638,11858,10250,10758,9722,0.84,1.1,7027.673,0.653250883,1867.491169
6666,-2628,8600,11913,10243,10809,9720,0.84,1.1,7084.8915,0.655462254,1845.377463
6666,-2646,8598,11893,10222,10788,9720,0.84,1.1,7063.978,0.654799592,1852.004079
6666,-2656,8671,11767,10290,10678,9720,0.84,1.1,6933.193,0.649296966,1907.030343
6666,-2642,8615,11637,10224,10553,9719,0.84,1.1,6797.7555,0.644153843,1958.461575
6666,-2639,8662,11714,10276,10625,9717,0.84,1.1,6877.8875,0.647330588,1926.694118
6666,-2641,8667,11746,10284,10642,9717,0.84,1.1,6910.627,0.649372956,1906.270438
6666,-2669,8598,12008,10291,10886,9716,0.84,1.1,7183.241,0.659860463,1801.39537
6666,-2678,8665,11753,10288,10639,9716,0.84,1.1,6917.4965,0.650201758,1897.982423
6666,-2658,8626,11938,10289,10826,9716,0.84,1.1,7110.631,0.656810549,1831.894513
6666,-2658,8657,11809,10289,10693,9716,0.84,1.1,6975.8455,0.652374965,1876.250351
6666,-2688,8579,11982,10255,10854,9716,0.84,1.1,7155.849,0.6592822,1807.177999
6666,-2660,8615,11883,10251,10767,9716,0.84,1.1,7053.0645,0.65506311,1849.368905
6666,-2681,8605,11951,10277,10834,9717,0.84,1.1,7123.979,0.657557596,1824.424035
6666,-2666,8669,11905,10309,10789,9719,0.84,1.1,7076.0215,0.655855177,1841.448234
6666,-2660,8645,11933,10288,10817,9721,0.84,1.1,7105.2395,0.656858602,1831.413978
6666,-2666,8667,11748,10305,10639,9722,0.84,1.1,6912.4965,0.649731789,1902.682113
6666,-2676,8438,11776,10039,10656,9722,0.84,1.11,6941.236,0.651392267,1886.077327
6666,-2692,8478,11968,10179,10839,9723,0.83,1.1,7141.1965,0.658842744,1711.572562
6666,-2690,8519,11925,10229,10796,9725,0.83,1.1,7096.326,0.657310671,1726.893294
6667,-2685,8606,12064,10255,10926,9726,0.84,1.1,7240.981,0.662729361,1772.706388
6666,-2678,8604,11811,10264,10696,9727,0.84,1.1,6977.976,0.652391174,1876.088257
6666,-2679,8657,11891,10306,10770,9727,0.84,1.1,7061.195,0.655635562,1843.644383
6666,-2668,8633,11753,10277,10651,9726,0.84,1.1,6918.0185,0.649518214,1904.817857
6666,-2677,8650,11688,10292,10583,9723,0.84,1.1,6850.0605,0.647270197,1927.298025
6666,-2677,8579,11959,10256,10834,9720,0.84,1.1,7131.979,0.658296013,1817.039874
6666,-2689,8558,11965,10254,10846,9719,0.83,1.1,7138.501,0.658169002,1718.309976
6666,-2690,8445,11977,10109,10853,9718,0.84,1.1,7150.8055,0.658878236,1811.217636
